"paste(locationid, channel)", avg_release ,release_site_name,release_stage,channel,species_name
514 FALSE," 252,885 ",Wilfred Creek (Coal),"Fed Fry, Unfed, Smolt 1+, Fed Fall",FALSE,"Chum, Coho, Pink"
232 FALSE," 250,025 ",Chilqua Creek,Fed Fry,FALSE,Chum
2 FALSE," 240,411 ",Sooke River,"Fed Fry, Smolt 0+, Seapen 0+, Unfed, Smolt 1+",FALSE,"Chinook, Coho"
102 FALSE," 234,297 ",Sarita River,"Smolt 0+, Fed Fry",FALSE,Chinook
25 FALSE," 230,107 ",Fairy Lake,"Smolt 0+, Fed Fry, Seapen 0+",FALSE,Chinook
555 FALSE," 229,412 ",Burman Estuary,"Seapen 0+, Seapen",FALSE,Chinook
665 FALSE," 226,018 ",Tahsis River,"Fed Fry, Seapen 0+",FALSE,"Chinook, Coho"
570 FALSE," 217,309 ",Sakinaw Lake,"Fed Fry, Smolt 1+, Fed Fall",FALSE,Sockeye
271 FALSE," 214,059 ",Harrison River,"Smolt 0+, Fed Fry, Unfed",FALSE,"Chinook, Chum, Coho"
895 FALSE," 210,898 ",Shuswap River Lower,"Unfed, Fed Fry, Smolt 0+",FALSE,Chinook
115 FALSE," 209,995 ",Haslam Lake,Fed Fry,FALSE,"Chinook, Coho"
210 FALSE," 202,075 ",Luckakuck Creek,Unfed,FALSE,Chum
590 FALSE," 199,797 ",Squamish Estuary,Seapen,FALSE,Chum
277 FALSE," 197,130 ",Evans Creek,"Unfed, Fed Fry",FALSE,"Chinook, Chum, Coho"
217 FALSE," 196,143 ",Atchelitz Creek,Unfed,FALSE,Chum
202 FALSE," 194,674 ",Nanaimo River,"Smolt 0+, Unfed, Fed Fry, Smolt 1+",FALSE,"Chinook, Chum, Coho, Pink"
58 FALSE," 187,269 ",Cowichan River,"Smolt 0+, Fed Fry, Eyed Egg",FALSE,"Chinook, Chum, Coho"
627 FALSE," 184,099 ",Lang Creek,Fed Fry,FALSE,"Chum, Coho"
1027 FALSE," 174,885 ",Kitasoo Creek,"Fed Fry, Smolt 1+, Fed Fall",FALSE,"Chum, Coho"
116 FALSE," 171,678 ",Salmon Creek/Southwest Vancouver Island,Fed Fry,FALSE,Chum
749 FALSE," 171,368 ",Woss Lake,Smolt 0+,FALSE,Chinook
583 FALSE," 171,032 ",Stawamus River,Fed Fry,FALSE,"Chum, Coho"
205 FALSE," 170,642 ",Nicomen Slough,Fed Fry,FALSE,Chum
852 FALSE," 166,354 ",Orford Bay,Fed Fry,FALSE,Chum
669 FALSE," 165,656 ",Quinsam Lake,Fed Fry,FALSE,"Coho, Chinook"
148 FALSE," 161,380 ",Haslam Creek,Fed Fry,FALSE,Coho
672 FALSE," 156,664 ",Iron River,Eyed Egg,FALSE,Chinook
964 FALSE," 147,836 ",Wannock Estuary,"Smolt 0+, Seapen 0+, Fed Fry",FALSE,Chinook
686 FALSE," 147,441 ",Cold Creek,Smolt 0+,FALSE,Chinook
640 FALSE," 147,202 ",Tenderfoot Creek,"Unfed, Smolt 1+, Fed Fry",FALSE,"Chinook, Chum, Coho"
657 FALSE," 144,319 ",Oyster River,"Smolt 0+, Fed Fry, Smolt 1+, Unfed",FALSE,"Chinook, Coho, Chum, Pink"
163 FALSE," 142,699 ",Salwein Creek,"Fed Fry, Smolt 1+",FALSE,"Chum, Coho, Steelhead"
1285 FALSE," 139,026 ",Takla Lake,"Fed Fall, Fed Fry",FALSE,Sockeye
166 FALSE," 136,116 ",Hopedale Channel,Fed Fry,FALSE,"Chum, Coho"
808 FALSE," 135,545 ",Nicola River,"Smolt 1+, Fed Fry",FALSE,"Coho, Chinook"
309 FALSE," 135,153 ",Somass River,"Smolt 1+, Seapen 0+, Fed Fry",FALSE,"Steelhead, Chinook, Chum"
248 FALSE," 134,030 ",Newcastle Island,Seapen,FALSE,Pink
168 FALSE," 129,997 ",Usher Channel,Fed Fry,FALSE,Chum
586 FALSE," 127,500 ",Little Stawamus Creek,Fed Fry,FALSE,Chum
716 FALSE," 125,000 ",Olsen Creek,Fed Fry,FALSE,Sockeye
390 FALSE," 123,330 ",Capilano River Upper,"Unfed, Fed Fry, Smolt 1+, Smolt 2+",FALSE,"Chum, Coho, Pink, Steelhead"
825 FALSE," 110,090 ",Nimpkish Lake,Smolt 0+,FALSE,Chinook
400 FALSE," 109,096 ",Great Central Lake,Smolt 1+,FALSE,Chinook
841 FALSE," 108,511 ",Phillips Lake,"Smolt 0+, Fed Fry",FALSE,Chinook
615 FALSE," 107,020 ",Horse Creek,Fed Fry,FALSE,Chum
10 FALSE," 105,869 ",Esquimalt Harbour,Smolt 0+,FALSE,Chinook
1140 FALSE," 100,269 ",Yakoun River,"Smolt 0+, Smolt 1+",FALSE,"Chinook, Coho"
164 FALSE," 100,025 ",Street Pond,Fed Fry,FALSE,Chum
554 FALSE," 100,000 ",Fish Hatchery Creek,Fed Fry,FALSE,Sockeye
609 FALSE," 100,000 ",Hop Ranch Creek,Fed Fry,FALSE,Chum
718 FALSE," 99,962 ",Elaho River,"Fed Fry, Smolt 1+, Unfed",FALSE,"Chinook, Pink"
809 FALSE," 99,669 ",Shuswap River Middle,"Smolt 1+, Smolt 0+, Eyed Egg, Fed Fry",FALSE,Chinook
371 FALSE," 98,871 ",Seymour River/Strait of Georgia Mainland,"Fed Fry, Smolt 1+, Unfed",FALSE,"Chum, Coho, Pink, Steelhead"
191 FALSE," 97,422 ",Street Creek,Fed Fry,FALSE,"Chum, Coho"
223 FALSE," 97,060 ",Norrish Creek,Smolt 1+,FALSE,Coho
920 FALSE," 95,708 ",Bond Sound,Seapen,FALSE,Chum
7 FALSE," 92,393 ",Young Lake,Fed Fry,FALSE,Coho
142 FALSE," 90,720 ",Barrett Creek,Fed Fry,FALSE,"Chum, Coho"
420 FALSE," 90,413 ",Horne Lake,Fed Fry,FALSE,Coho
1259 FALSE," 90,073 ",Forfar Creek,Fed Fry,FALSE,Sockeye
853 FALSE," 90,000 ",Orford River,Unfed,FALSE,Chum
200 FALSE," 88,808 ",Clemens Creek,"Fed Fry, Smolt 0+",FALSE,Chinook
1245 FALSE," 88,522 ",Kitsum Above Canyon,"Smolt 1+, Fed Fry",FALSE,Chinook
650 FALSE," 86,736 ",Mission Creek/OKAN,Fed Fry,FALSE,Sockeye
611 FALSE," 85,642 ",Jimmy Jimmy Slough,"Fed Fry, Unfed",FALSE,"Chum, Coho"
885 FALSE," 84,949 ",Quatse River,"Smolt 1+, Fed Fry, Unfed",FALSE,"Coho, Chum, Pink, Steelhead"
1253 FALSE," 84,194 ",Middle River,"Fed Fall, Fed Fry",FALSE,Sockeye
651 FALSE," 82,828 ",Muchalat River,"Smolt 0+, Seapen 0+",FALSE,Chinook
1318 FALSE," 82,579 ",Michie Creek,"Smolt 0+, Fed Fry",FALSE,Chinook
230 FALSE," 81,814 ",Stave River,Smolt 1+,FALSE,"Coho, Steelhead"
141 FALSE," 79,657 ",Cultus Lake,"Fed Fry, Fed Fall, Smolt 1+",FALSE,Sockeye
172 FALSE," 79,415 ",First Lake/Strait of Georgia Vancouver Island,"Smolt 0+, Fed Fry",FALSE,"Chinook, Coho"
222 FALSE," 76,799 ",Little Chilliwack River,"Unfed, Fed Fry, Smolt 1+",FALSE,"Chum, Coho"
324 FALSE," 75,648 ",Alouette River South,"Fed Fry, Smolt 1+, Unfed, Smolt 2+",FALSE,"Chum, Coho, Pink, Steelhead"
109 FALSE," 75,087 ",Twin River East,Fed Fry,FALSE,Chum
606 FALSE," 74,523 ",Meighan Creek,"Fed Fry, Unfed",FALSE,"Chum, Coho"
532 FALSE," 73,920 ",Willemar + Forbush Lakes,Fed Fry,FALSE,Coho
1123 FALSE," 73,735 ",Hartley Bay Lake,Fed Fry,FALSE,Coho
790 FALSE," 71,338 ",Salmon River/Johnstone Strait,"Smolt 0+, Fed Fry",FALSE,"Chinook, Coho"
565 FALSE," 69,778 ",Mouat Creek,"Fed Fry, Seapen",FALSE,Chum
485 FALSE," 67,526 ",Wilson Estuary/Strait of Georgia Mainland,"Seapen, Fed Fry",FALSE,"Pink, Coho"
128 FALSE," 66,904 ",Henderson Lake,"Smolt 0+, Fed Fry",FALSE,Chinook
837 FALSE," 66,131 ",Quatsino Sound,Seapen 0+,FALSE,Chinook
628 FALSE," 65,633 ",Cheakamus River,"Smolt 1+, Fed Fry, Unfed",FALSE,"Chinook, Pink, Coho, Chum"
722 FALSE," 65,565 ",Coldwater River,"Smolt 1+, Fed Fry",FALSE,"Coho, Chinook"
154 FALSE," 65,245 ",Serpentine River,"Smolt 0+, Fed Fry, Smolt 1+, Unfed",FALSE,"Chinook, Chum, Coho"
114 FALSE," 65,066 ",Thornton Creek,"Fed Fry, Smolt 0+, Unfed, Fed Fall",FALSE,"Chum, Chinook, Coho"
216 FALSE," 64,310 ",Cougar Canyon Creek,"Fed Fry, Eyed Egg, Smolt 1+",FALSE,"Chum, Coho"
927 FALSE," 63,702 ",Southgate River,Smolt 0+,FALSE,Chinook
1261 FALSE," 63,338 ",Gluskie Creek,"Fed Fall, Fed Fry",FALSE,Sockeye
330 FALSE," 63,054 ",Cypre River,"Fed Fry, Smolt 0+",FALSE,"Coho, Chinook, Chum"
858 FALSE," 62,322 ",Cluxewe River,"Smolt 1+, Unfed, Eyed Egg, Fed Fry",FALSE,"Coho, Pink, Steelhead"
581 FALSE," 62,206 ",Gold Estuary,"Seapen 0+, Fed Fry",FALSE,"Chinook, Coho"
848 FALSE," 62,068 ",Waukwaas Creek,"Smolt 1+, Fed Fry",FALSE,Coho
652 FALSE," 61,783 ",Willingdon Creek,Fed Fry,FALSE,Chum
201 FALSE," 60,765 ",Kennedy River Lower,"Smolt 0+, Fed Fry",FALSE,Chinook
977 FALSE," 59,137 ",Chilko River,"Smolt 1+, Fed Fry, Unfed",FALSE,Chinook
403 FALSE," 57,653 ",Stamp River,"Smolt 1+, Smolt 0+, Fed Fry",FALSE,"Chinook, Steelhead, Coho"
428 FALSE," 56,075 ",French Creek,Fed Fry,FALSE,"Chum, Coho"
1166 FALSE," 56,032 ",Stuart River,Fed Fry,FALSE,Sockeye
966 FALSE," 55,038 ",Kilbella Bay,"Seapen 0+, Smolt 0+",FALSE,Chinook
763 FALSE," 54,981 ",Woss River,"Smolt 0+, Smolt 1+, Fed Fry",FALSE,"Chinook, Coho"
612 FALSE," 52,623 ",Dryden Creek,"Fed Fry, Unfed",FALSE,"Chum, Coho"
871 FALSE," 50,572 ",Tom Brown Creek,Eyed Egg,FALSE,Chinook
136 FALSE," 50,269 ",Little Camp + Nicomk,"Smolt 0+, Fed Fry, Unfed, Smolt 1+",FALSE,"Chinook, Chum, Coho"
1098 FALSE," 50,000 ",Whalen Lake,Fed Fry,FALSE,Coho
249 FALSE," 50,000 ",Yorkson Creek,Fed Fry,FALSE,Chum
489 FALSE," 48,900 ",Chef Creek,Unfed,FALSE,Pink
90 FALSE," 48,271 ",Sugsaw Creek,Fed Fry,FALSE,Chum
239 FALSE," 47,152 ",Deroche Channel,Fed Fry,FALSE,Chum
643 FALSE," 47,142 ",Brohm Lake,Fed Fry,FALSE,Coho
991 FALSE," 45,635 ",Lonesome Lake,Fed Fry,FALSE,Sockeye
980 FALSE," 45,628 ",McLoughlin Bay Creek,"Smolt 1+, Fed Fry",FALSE,"Coho, Chum"
996 FALSE," 45,582 ",Tankeeah Lake,Unfed,FALSE,Sockeye
1018 FALSE," 45,325 ",Nusatsum River,"Fed Fry, Smolt 0+",FALSE,"Chum, Chinook"
510 FALSE," 44,457 ",Ogden Creek,Unfed,FALSE,Chum
5 FALSE," 44,128 ",Demamiel Creek,Fed Fry,FALSE,Coho
721 FALSE," 43,537 ",Mohun Creek,"Fed Fall, Unfed",FALSE,"Coho, Pink"
635 FALSE," 43,511 ",Brohm River,"Unfed, Fed Fry",FALSE,Coho
480 FALSE," 43,169 ",Hurry Creek,Smolt 1+,FALSE,Coho
919 FALSE," 42,533 ",Eagle River,"Fed Fry, Smolt 1+",FALSE,Coho
139 FALSE," 42,309 ",Napoleon Creek,"Smolt 1+, Fed Fry",FALSE,Coho
457 FALSE," 42,008 ",Hunts Creek,Fed Fry,FALSE,Coho
603 FALSE," 41,996 ",Little River/Strait of Georgia Vancouver Island,"Unfed, Fed Fry, Smolt 1+",FALSE,"Chum, Coho"
805 FALSE," 40,514 ",Benson River,Fed Fry,FALSE,Chinook
1121 FALSE," 40,375 ",Hartley Bay Creek,"Smolt 1+, Fed Fry",FALSE,Coho
1118 FALSE," 40,000 ",Union Pass Lake,Fed Fry,FALSE,Coho
1129 FALSE," 40,000 ",Red Bluff Lake,Fed Fry,FALSE,Coho
667 FALSE," 37,283 ",Sliammon Lake,Fed Fry,FALSE,Coho
1081 FALSE," 37,227 ",South Bay Creek,Fed Fry,FALSE,Chum
257 FALSE," 36,667 ",Kanaka Creek,"Fed Fry, Unfed, Smolt 1+",FALSE,"Chum, Coho, Pink"
842 FALSE," 36,000 ",Coho Creek/Johnstone Strait,Unfed,FALSE,Pink
1104 FALSE," 35,953 ",Stanley Lake,Fed Fry,FALSE,Coho
1178 FALSE," 35,898 ",Willow River/Upper Fraser,"Smolt 1+, Fed Fry",FALSE,Chinook
319 FALSE," 35,873 ",Kitsuksis Creek,"Unfed, Fed Fry",FALSE,"Chum, Coho"
108 FALSE," 35,471 ",Francis Lake/Southwest Vancouver Island,Fed Fry,FALSE,Coho
884 FALSE," 35,061 ",Salmon River/Upper Thompson,"Fed Fry, Smolt 1+",FALSE,"Chinook, Coho"
952 FALSE," 35,002 ",Taseko Lake,Fed Fry,FALSE,Sockeye
169 FALSE," 34,303 ",Sweltzer Creek,Smolt 1+,FALSE,Sockeye
1046 FALSE," 34,264 ",Cariboo River Upper,"Fed Fall, Fed Fry",FALSE,Chinook
645 FALSE," 34,114 ",BC Railway Channel,Unfed,FALSE,Coho
305 FALSE," 34,088 ",Eagle Creek,Fed Fry,FALSE,"Chum, Coho"
707 FALSE," 34,000 ",Sebalhall Creek,Smolt 0+,FALSE,Chinook
508 FALSE," 33,409 ",Rosewall Creek,"Fed Fry, Smolt 1+, Unfed",FALSE,"Chum, Coho"
173 FALSE," 33,098 ",Second Lake/Strait of Georgia Vancouver Island,Fed Fry,FALSE,Coho
1099 FALSE," 32,669 ",Crabapple Creek,Fed Fry,FALSE,Chum
161 FALSE," 32,458 ",Kootowis Creek,Fed Fry,FALSE,Coho
1229 FALSE," 32,381 ",Kitsum Bel Canyon,"Smolt 1+, Fed Fry",FALSE,Chinook
1031 FALSE," 30,763 ",Roderick Lake,Fed Fry,FALSE,Sockeye
380 FALSE," 30,121 ",MacKay Creek,"Unfed, Fed Fry",FALSE,"Pink, Chum"
306 FALSE," 30,000 ",Dry Creek/Southwest Vancouver Island,Unfed,FALSE,Chum
1138 FALSE," 29,873 ",Mamin River,"Fed Fry, Smolt 1+",FALSE,Coho
1255 FALSE," 29,614 ",Toboggan Creek,"Smolt 1+, Eyed Egg",FALSE,Coho
207 FALSE," 29,468 ",Meares Creek,Fed Fry,FALSE,Chum
137 FALSE," 29,394 ",Nahmint River,"Smolt 0+, Smolt 1+, Fed Fry, Unfed",FALSE,Chinook
487 FALSE," 29,251 ",Chapman Creek,"Unfed, Fed Fry, Smolt 1+, Smolt 2+",FALSE,"Chum, Coho, Pink, Steelhead"
1085 FALSE," 28,978 ",MacMillan Creek,Fed Fry,FALSE,Chum
1135 FALSE," 28,480 ",Blackwater Creek/Haida Gwaii,Fed Fry,FALSE,Coho
567 FALSE," 28,168 ",Roy Creek,Fed Fry,FALSE,Coho
445 FALSE," 27,962 ",Bedwell River,"Smolt 0+, Fed Fry, Seapen 0+",FALSE,"Chinook, Chum"
1083 FALSE," 27,791 ",Two Torrent Creek,Fed Fry,FALSE,Chum
1144 FALSE," 27,593 ",Torpy River,Fed Fry,FALSE,Chinook
890 FALSE," 27,421 ",Portage Creek,"Unfed, Smolt 1+",FALSE,Chinook
868 FALSE," 27,184 ",Goodspeed River,Fed Fry,FALSE,"Chinook, Chum, Coho"
670 FALSE," 27,104 ",Appleton Creek,Fed Fry,FALSE,Coho
1316 FALSE," 27,065 ",McClintock River,"Smolt 0+, Fed Fry",FALSE,Chinook
19 FALSE," 27,028 ",Goldstream River,"Fed Fry, Smolt 0+, Unfed, Smolt 1+",FALSE,"Chum, Chinook, Coho"
391 FALSE," 27,012 ",Weaver Spwaning Channel,"Unfed, Smolt 1+",FALSE,Sockeye
1176 FALSE," 26,187 ",Bowron River,Fed Fry,FALSE,"Sockeye, Chinook"
280 FALSE," 26,058 ",Maria Slough,Smolt 0+,FALSE,Chinook
71 FALSE," 26,000 ",Hope Bay Creek,"Unfed, Fed Fry",FALSE,"Chum, Coho"
1091 FALSE," 25,619 ",Piper Creek,Fed Fry,FALSE,Chum
149 FALSE," 25,197 ",Watershed Creek,Fed Fry,FALSE,Chum
317 FALSE," 25,151 ",Rogers Creek,"Unfed, Fed Fry",FALSE,"Chum, Coho"
296 FALSE," 25,068 ",Deer Lake,"Fed Fry, Smolt 1+",FALSE,"Chum, Coho"
537 FALSE," 25,000 ",Porpoise Bay,Smolt 1+,FALSE,Coho
692 FALSE," 24,895 ",Vernon Lake,Smolt 0+,FALSE,Chinook
48 FALSE," 24,707 ",Tseycum Creek,"Fed Fry, Unfed",FALSE,Chum
104 FALSE," 24,697 ",Chemainus River,"Fed Fry, Smolt 0+",FALSE,"Chum, Chinook"
194 FALSE," 24,624 ",Kennedy River Upper,"Fed Fry, Eyed Egg",FALSE,Coho
830 FALSE," 24,499 ",Kokish River,"Smolt 0+, Fed Fry, Unfed, Smolt 1+",FALSE,"Chinook, Chum, Coho, Pink"
1008 FALSE," 24,264 ",Noosgulch River,"Fed Fry, Smolt 0+",FALSE,"Chum, Chinook"
345 FALSE," 24,247 ",Alouette Lake,Fed Fry,FALSE,Coho
464 FALSE," 24,136 ",Terminal Creek,"Fed Fry, Unfed",FALSE,"Chum, Coho, Pink"
440 FALSE," 23,870 ",Nelson Creek/Strait of Georgia Mainland,Fed Fry,FALSE,"Chum, Coho"
362 FALSE," 23,551 ",Mossom Creek,"Fed Fry, Unfed, Smolt 1+",FALSE,"Chum, Pink, Coho"
112 FALSE," 23,374 ",Stocking Creek,Fed Fry,FALSE,"Chum, Coho"
220 FALSE," 23,184 ",West Creek,Fed Fry,FALSE,Chum
85 FALSE," 22,541 ",Beadnell Creek,Fed Fry,FALSE,"Chum, Coho"
1084 FALSE," 22,500 ",Blue Paper Creek,Fed Fry,FALSE,Chum
725 FALSE," 22,477 ",Basil Brook,"Fed Fry, Unfed, Eyed Egg",FALSE,"Coho, Chum"
488 FALSE," 22,236 ",Wamer Creek,Unfed,FALSE,Chum
459 FALSE," 22,209 ",Killarney Creek,Fed Fry,FALSE,"Chum, Coho, Pink"
499 FALSE," 21,954 ",Jenkins Creek,Unfed,FALSE,Chum
369 FALSE," 21,839 ",Schoolhouse/North,Fed Fry,FALSE,Chum
1321 FALSE," 21,735 ",Fox Creek,Fed Fry,FALSE,Chinook
132 FALSE," 21,472 ",Toquart River,"Smolt 0+, Eyed Egg, Fed Fry",FALSE,"Chinook, Coho"
566 FALSE," 21,125 ",Trent River,Fed Fry,FALSE,Coho
124 FALSE," 20,999 ",Little Campbell River,"Smolt 0+, Smolt 1+, Fed Fry, Smolt 2+",FALSE,"Chinook, Coho, Steelhead"
269 FALSE," 20,932 ",Tranquil Creek,"Smolt 0+, Fed Fry, Seapen 0+",FALSE,"Chinook, Chum, Coho"
1297 FALSE," 20,905 ",Driftwood River,Fed Fry,FALSE,Sockeye
246 FALSE," 20,853 ",Byrne Creek,"Fed Fry, Smolt 1+",FALSE,"Chum, Coho"
1205 FALSE," 20,742 ",Fontiniko River,Fed Fry,FALSE,Chinook
715 FALSE," 20,686 ",Whaletown Creek,Unfed,FALSE,Chum
462 FALSE," 20,323 ",Davies Creek/Strait of Georgia Mainland,Fed Fry,FALSE,"Chum, Coho"
344 FALSE," 20,316 ",Noons Creek,"Fed Fry, Smolt 1+",FALSE,"Chum, Coho"
967 FALSE," 20,185 ",Kilbella River,Fed Fry,FALSE,Chinook
426 FALSE," 20,112 ",Maplewood Creek,"Fed Fry, Unfed",FALSE,Chum
527 FALSE," 20,000 ",Halfmoon Creek,Smolt 1+,FALSE,Coho
625 FALSE," 20,000 ",Blackwater/Strait of Georgia Mainland,Fed Fry,FALSE,Coho
381 FALSE," 19,953 ",Mosquito Creek/Strait of Georgia Mainland,"Eyed Egg, Fed Fry",FALSE,"Chum, Pink"
506 FALSE," 19,929 ",Coho Creek/Lower Fraser,Fed Fry,FALSE,Coho
1022 FALSE," 19,722 ",Horsefly River,"Smolt 1+, Fed Fry",FALSE,Chinook
278 FALSE," 19,633 ",Nelson Creek/Lower Fraser,"Eyed Egg, Smolt 1+, Fed Fry",FALSE,"Chum, Coho"
941 FALSE," 19,627 ",Warner Bay Creek,Fed Fry,FALSE,Chum
1145 FALSE," 19,320 ",Loon Lake Creek,Fed Fry,FALSE,Coho
1148 FALSE," 19,168 ",Slim Creek,"Fed Fry, Fed Fall",FALSE,Chinook
737 FALSE," 18,729 ",Spius Creek,"Smolt 1+, Fed Fry, Unfed",FALSE,"Chinook, Coho"
447 FALSE," 18,478 ",McKay Creek,Fed Fry,FALSE,Chum
1187 FALSE," 18,421 ",Seebach Creek,Fed Fry,FALSE,Chinook
368 FALSE," 18,310 ",Lynn Creek/Strait of Georgia Mainland,"Fed Fry, Unfed",FALSE,"Chum, Coho, Pink"
274 FALSE," 18,298 ",Brunette River,"Fed Fry, Smolt 1+, Unfed",FALSE,"Chum, Coho"
337 FALSE," 18,034 ",Suterbrook Creek,Fed Fry,FALSE,Chum
