Area,System,Species,Survey_type,Conducted_by,Week_of_last_survey,Num_surveys,Count,Avg_Raw_Peak,Avg_Esc_Est
23,Rousseau Creek,Coho,Periodic/PL+D,HFN,Oct 13NA19,3,85,180,NA
23,TOQUAHT RIVER,Coho,Periodic/PL+D,TCES,Oct 6NA12,2,106,480,640
23,CAMPSITE CREEK,Coho,Periodic/PL+D,TCES,Oct 20NA26,1,3,10,NA
23,DRAW CREEK,Coho,Periodic/PL+D,TCES,Nov 3NA9,1,247,260,NA
23,LITTLE TOQUAHT CREEK,Coho,Periodic/PL+D,TCES,Oct 27NANov 2,2,4,10,20
23,PARADISE CREEK,Coho,Periodic/PL+D,TCES,Nov 3NA9,1,89,120,NA
23,TWIN RIVERS EAST CREEK,Coho,Periodic/PL+D,TCES,Oct 27NANov 2,4,1,20,40
23,CLEMENS CREEK,Coho,Periodic/PL+D,Redd,Oct 27NANov 2,9,772,680,1460
23,EFFINGHAM RIVER,Coho,Periodic/PL+D,TCES,Oct 20NA26,2,209,200,270
23,SMITH CREEK,Coho,Periodic/PL+D,TCES,Oct 20NA26,1,0,0,50
23,NAHMINT RIVER,Coho,Periodic/PL+D,Redd,Oct 27NANov 2,7,151,160,360
24,BEDWELL RIVER,Coho,Periodic/PL+D,TSES,Nov 3NA9,5,593,870,1300
24,MEGIN RIVER,Coho,Periodic/PL+D,TSES,Sep 29NA Oct 5,3,920,810,1140
24,MOYEHA RIVER,Coho,Periodic/PL+D,TSES/NTC/Ha'oom,Sep 29NA Oct 5,4,358,780,1240
24,CYPRE RIVER,Coho,Periodic/PL+D,TSES,Oct 20NA26,3,619,700,970
24,ATLEO RIVER,Coho,Periodic/PL+D,MHSS,Oct 20NA26,1,12,120,260
24,COW CREEK,Coho,Periodic/PL+D,Homesteader,Oct 20NA26,3,23,40,70
24,SYDNEY RIVER,Coho,Periodic/PL+D,Redd,Sep 29NA Oct 5,1,57,120,400
24,WARN BAY CREEK,Coho,Periodic/PL+D,TSES,Oct 27NANov 2,2,34,30,40
24,Ayyi Saqh (Hesquiat Hrbr Crks #2),Coho,Periodic/PL+D,NTC,Oct 20NA26,1,0,NA,NA
24,MaNAapi (Hesquiat Hrbr Crks #4),Coho,Periodic/PL+D,NTC,Oct 20NA26,1,2,NA,NA
24,TRANQUIL CREEK,Coho,Periodic/PL+D,TSES,Oct 27NANov 2,5,377,440,780
24,FUNDY CREEK,Coho,Periodic/PL+D,TSES,Oct 27NANov 2,3,0,0,NA
24,KENNEDY RIVER (UPPER),Coho,Periodic/PL+D,Ha'oom,Oct 20NA26,3,339,810,970
25,CHUM CREEK,Coho,Periodic/PL+D,NFN,Oct 27NANov 2,4,16,20,30
25,LITTLE ZEBALLOS RIVER,Coho,Periodic/PL+D,EFN/Wildcoast,Sept 15NA21,1,18,240,270
25,ZEBALLOS RIVER,Coho,Periodic/PL+D,EFN/Wildcoast,Oct 20NA26,2,35,270,350
25,ELIZA CREEK,Coho,Periodic/PL+D,EFN/Wildcoast,Oct 20NA26,2,5,10,10
25,ESPINOSA CREEK,Coho,Periodic/PL+D,NFN,Oct 27NANov 2,4,2,50,70
25,HAMMOND CREEK,Coho,Periodic/PL+D,EFN/Wildcoast,Oct 20NA26,2,21,20,20
24,ESCALANTE RIVER,Coho,Periodic/PL+D,Redd,Oct 13NA19,1,53,200,NA
25,BURMAN RIVER,Coho,Periodic/PL+D,MMFN,Sep 29NA Oct 5,2,98,350,730
25,CANTON CREEK,Coho,Periodic/PL+D,MMFN,Sep 29NA Oct 5,3,261,310,460
25,CONUMA RIVER,Coho,Periodic/PL+D,Ecofish/Conuma,Oct 20NA26,5,1301,1990,2800
25,LEINER RIVER,Coho,Periodic/PL+D,Ecofish,Oct 27NANov 2,7,225,570,860
25,TAHSIS RIVER,Coho,Periodic/PL+D,Ecofish,Oct 27NANov 2,6,674,740,1200
25,GOLD RIVER,Coho,Periodic/PL+D,Ecofish,Oct 20NA26,5,919,1440,2600
26,ARTLISH RIVER,Coho,Periodic/PL+D,KCFN,Oct 20NA26,4,301,1130,1770
26,KAOUK RIVER,Coho,Periodic/PL+D,KCFN,Sep 29NA Oct 5,3,127,1470,2680
26,MALKSOPE RIVER,Coho,Periodic/PL+D,KCFN,Sep 29NA Oct 5,2,502,770,1730
26,TAHSISH RIVER,Coho,Periodic/PL+D,StAD/KCFN,Nov 3NA9,6,1370,1800,3170
27,CAYEGHLE SYSTEM,Coho,Periodic/PL+D,Wildcoast/Quatsino,Sep 29NA Oct 5,4,396,640,1010
27,MARBLE RIVER,Coho,Periodic/PL+D,Wildcoast/Quatsino,Sep 29NA Oct 5,4,305,530,1050
20,HARRIS CREEK,Chum,Periodic/PL+D,PFN,Oct 6NA12,1,0,10,10
20,LENS CREEK,Chum,Periodic/PL+D,PFN,Oct 6NA12,1,0,130,10
20,RENFREW CREEK,Chum,Periodic/PL+D,PFN,Oct 20NA26,1,130,100,200
20,SAN JUAN RIVER,Chum,Mixed/PL+D,PFN/4Mile Crk,Oct 20NA26,3,370,240,330
20,GORDON RIVER,Chum,Periodic/PL+D,PFN,Sep 29NA Oct 5,1,46,250,150
21,KLANAWA RIVER,Chum,Periodic/PL+D,HFN,Oct 27NANov 2,4,1,0,NA
22,NITINAT RIVER,Chum,Periodic/PL+D,MCWright/Nitinat,Nov 3NA9,6,87950,38010,116870
22,CAMPUS CREEK,Chum,Periodic/PL+D,Ditidaht/MCWright,Oct 27NANov 2,1,1038,1070,1490
22,HOBITON CREEK,Chum,Periodic/PL+D,Ditidaht/MCWright,Oct 20NA26,1,922,890,3540
22,WORTHLESS CREEK,Chum,Periodic/PL+D,MCWright/Nitinat,Oct 27NANov 2,1,213,NA,NA
23,SUGSAW CREEK,Chum,Periodic/PL+D,HFN,Oct 20NA26,2,1405,400,620
23,FREDERICK CREEK,Chum,Periodic/PL+D,HFN,Nov 3NA9,2,80,10,10
23,CARNATION CREEK,Chum,Periodic/PL+D,BC,Nov 3NA9,NA,81,NA,30
23,SARITA RIVER,Chum,Periodic/PL+D,HFN,Oct 6NA12,8,7581,5640,7040
23,PACHENA RIVER,Chum,Periodic/PL+D,HFN,Oct 27NANov 2,2,0,20,30
23,Rousseau Creek,Chum,Periodic/PL+D,HFN,Oct 13NA19,3,62,20,NA
23,TOQUAHT RIVER,Chum,Periodic/PL+D,TCES,Oct 6NA12,2,15411,3010,3180
23,CAMPSITE CREEK,Chum,Periodic/PL+D,TCES,Oct 20NA26,1,46,20,NA
23,DRAW CREEK,Chum,Periodic/PL+D,TCES,Nov 3NA9,1,0,NA,NA
23,LITTLE TOQUAHT CREEK,Chum,Periodic/PL+D,TCES,Oct 27NANov 2,2,9235,3520,2890
23,PARADISE CREEK,Chum,Periodic/PL+D,TCES,Nov 3NA9,1,0,NA,NA
23,TWIN RIVERS EAST CREEK,Chum,Periodic/PL+D,TCES,Oct 27NANov 2,4,799,280,310
23,CLEMENS CREEK,Chum,Periodic/PL+D,Redd,Oct 27NANov 2,9,522,70,100
23,EFFINGHAM RIVER,Chum,Periodic/PL+D,TCES,Oct 20NA26,2,8116,1050,1220
23,SMITH CREEK,Chum,Periodic/PL+D,TCES,Oct 20NA26,1,4154,1390,1880
23,NAHMINT RIVER,Chum,Periodic/PL+D,Redd,Oct 27NANov 2,7,15204,4560,7330
24,BEDWELL RIVER,Chum,Periodic/PL+D,TSES,Nov 3NA9,5,3985,1700,2790
24,MEGIN RIVER,Chum,Periodic/PL+D,TSES,Sep 29NA Oct 5,3,302,140,460
24,MOYEHA RIVER,Chum,Periodic/PL+D,TSES/NTC/Ha'oom,Sep 29NA Oct 5,4,1355,1370,1810
24,CYPRE RIVER,Chum,Periodic/PL+D,TSES,Oct 20NA26,3,3702,980,1290
24,ATLEO RIVER,Chum,Periodic/PL+D,MHSS,Oct 20NA26,1,2095,70,120
24,COW CREEK,Chum,Periodic/PL+D,Homesteader,Oct 20NA26,3,70,10,30
24,SYDNEY RIVER,Chum,Periodic/PL+D,Redd,Sep 29NA Oct 5,1,687,40,60
24,WARN BAY CREEK,Chum,Periodic/PL+D,TSES,Oct 27NANov 2,2,1653,880,960
24,WHITE PINE COVE CREEK,Chum,Periodic/PL+D,MHSS,Oct 20NA26,1,55,0,40
24,Ayyi Saqh (Hesquiat Hrbr Crks #2),Chum,Periodic/PL+D,NTC,Oct 20NA26,1,1528,NA,NA
24,YaNAksis (Hesquiat Hrbr Crks #3),Chum,Periodic/PL+D,NTC,Oct 20NA26,1,5,NA,NA
24,MaNAapi (Hesquiat Hrbr Crks #4),Chum,Periodic/PL+D,NTC,Oct 20NA26,1,152,NA,NA
24,Ahtaapq (Hot Springs Cove Crk),Chum,Periodic/PL+D,MHSS/Redd,Sep 8NA14,1,87,NA,NA
24,TRANQUIL CREEK,Chum,Periodic/PL+D,TSES,Oct 27NANov 2,5,7180,2560,6150
24,CONE CREEKS (2),Chum,Periodic/PL+D,TSES,Oct 20NA26,2,309,80,80
24,FUNDY CREEK,Chum,Periodic/PL+D,TSES,Oct 27NANov 2,3,131,0,0
24,KENNEDY RIVER (UPPER),Chum,Periodic/PL+D,Ha'oom,Oct 20NA26,3,0,0,NA
24,Sharp Creek,Chum,Periodic/PL+D,TSES,Oct 20NA26,2,297,80,NA
24,SUTTON MILL CREEK,Chum,Periodic/PL+D,TSES,Oct 27NANov 2,3,432,40,30
25,CHUM CREEK,Chum,Periodic/PL+D,NFN,Oct 27NANov 2,4,950,1020,1350
25,LITTLE ZEBALLOS RIVER,Chum,Periodic/PL+D,EFN/Wildcoast,Sept 15NA21,1,5,930,1800
25,ZEBALLOS RIVER,Chum,Periodic/PL+D,EFN/Wildcoast,Oct 20NA26,2,3162,3460,5860
25,ELIZA CREEK,Chum,Periodic/PL+D,EFN/Wildcoast,Oct 20NA26,2,142,60,40
25,ESPINOSA CREEK,Chum,Periodic/PL+D,NFN,Oct 27NANov 2,4,1550,1400,1330
25,HAMMOND CREEK,Chum,Periodic/PL+D,EFN/Wildcoast,Oct 20NA26,2,688,170,220
24,ESCALANTE RIVER,Chum,Periodic/PL+D,Redd,Oct 13NA19,1,150,20,NA
25,BURMAN RIVER,Chum,Periodic/PL+D,MMFN,Sep 29NA Oct 5,2,1063,2080,3840
25,CANTON CREEK,Chum,Periodic/PL+D,MMFN,Sep 29NA Oct 5,3,6477,910,2230
25,CONUMA RIVER,Chum,Periodic/PL+D,Ecofish/Conuma,Oct 20NA26,5,17608,5880,10380
25,LEINER RIVER,Chum,Periodic/PL+D,Ecofish,Oct 27NANov 2,7,1202,1200,2380
25,TAHSIS RIVER,Chum,Periodic/PL+D,Ecofish,Oct 27NANov 2,6,1548,1110,3460
25,GOLD RIVER,Chum,Periodic/PL+D,Ecofish,Oct 20NA26,5,32,20,NA
26,ARTLISH RIVER,Chum,Periodic/PL+D,KCFN,Oct 20NA26,4,5234,2970,4220
26,KAOUK RIVER,Chum,Periodic/PL+D,KCFN,Sep 29NA Oct 5,3,103,1710,4980
26,MALKSOPE RIVER,Chum,Periodic/PL+D,KCFN,Sep 29NA Oct 5,2,2704,1450,4960
26,TAHSISH RIVER,Chum,Periodic/PL+D,StAD/KCFN,Nov 3NA9,6,5860,2300,4380
27,CAYEGHLE SYSTEM,Chum,Periodic/PL+D,Wildcoast/Quatsino,Sep 29NA Oct 5,4,1710,2450,7330
20,SAN JUAN RIVER,Pink,Mixed/PL+D,PFN/4Mile Crk,Oct 20NA26,3,1,0,50
20,GORDON RIVER,Pink,Periodic/PL+D,PFN,Sep 29NA Oct 5,1,1,0,NA
21,KLANAWA RIVER,Pink,Periodic/PL+D,HFN,Oct 27NANov 2,4,16,NA,NA
22,NITINAT RIVER,Pink,Periodic/PL+D,MCWright/Nitinat,Nov 3NA9,6,0,0,20
22,CAMPUS CREEK,Pink,Periodic/PL+D,Ditidaht/MCWright,Oct 27NANov 2,1,0,NA,NA
22,HOBITON CREEK,Pink,Periodic/PL+D,Ditidaht/MCWright,Oct 20NA26,1,0,NA,NA
22,WORTHLESS CREEK,Pink,Periodic/PL+D,MCWright/Nitinat,Oct 27NANov 2,1,0,NA,NA
23,SOMASS SYSTEM,Pink,Fence/Cumulative,Hup/StAD,Oct 27NANov 2,NA,1,N/A,N/A
23,CARNATION CREEK,Pink,Periodic/PL+D,BC,Nov 3NA9,NA,0,NA,NA
23,SARITA RIVER,Pink,Periodic/PL+D,HFN,Oct 6NA12,8,0,0,10
23,PACHENA RIVER,Pink,Periodic/PL+D,HFN,Oct 27NANov 2,2,0,NA,NA
23,TOQUAHT RIVER,Pink,Periodic/PL+D,TCES,Oct 6NA12,2,1,0,30
23,PARADISE CREEK,Pink,Periodic/PL+D,TCES,Nov 3NA9,1,0,NA,NA
23,CLEMENS CREEK,Pink,Periodic/PL+D,Redd,Oct 27NANov 2,9,0,0,NA
23,NAHMINT RIVER,Pink,Periodic/PL+D,Redd,Oct 27NANov 2,7,1,0,10
24,BEDWELL RIVER,Pink,Periodic/PL+D,TSES,Nov 3NA9,5,12,5,40
24,MEGIN RIVER,Pink,Periodic/PL+D,TSES,Sep 29NA Oct 5,3,1,0,20
24,MOYEHA RIVER,Pink,Periodic/PL+D,TSES/NTC/Ha'oom,Sep 29NA Oct 5,4,2,10,10
24,CYPRE RIVER,Pink,Periodic/PL+D,TSES,Oct 20NA26,3,2,0,10
24,TRANQUIL CREEK,Pink,Periodic/PL+D,TSES,Oct 27NANov 2,5,6,1,NA
25,ZEBALLOS RIVER,Pink,Periodic/PL+D,EFN/Wildcoast,Oct 20NA26,2,0,0,60
25,ESPINOSA CREEK,Pink,Periodic/PL+D,NFN,Oct 27NANov 2,4,0,0,10
24,ESCALANTE RIVER,Pink,Periodic/PL+D,Redd,Oct 13NA19,1,0,0,NA
25,BURMAN RIVER,Pink,Periodic/PL+D,MMFN,Sep 29NA Oct 5,2,0,0,20
25,CONUMA RIVER,Pink,Periodic/PL+D,Ecofish/Conuma,Oct 20NA26,5,1,0,0
25,LEINER RIVER,Pink,Periodic/PL+D,Ecofish,Oct 27NANov 2,7,4,0,0
25,TAHSIS RIVER,Pink,Periodic/PL+D,Ecofish,Oct 27NANov 2,6,1,0,0
25,GOLD RIVER,Pink,Periodic/PL+D,Ecofish,Oct 20NA26,5,0,10,NA
26,ARTLISH RIVER,Pink,Periodic/PL+D,KCFN,Oct 20NA26,4,0,0,NA
26,KAOUK RIVER,Pink,Periodic/PL+D,KCFN,Sep 29NA Oct 5,3,0,0,10
26,MALKSOPE RIVER,Pink,Periodic/PL+D,KCFN,Sep 29NA Oct 5,2,0,0,NA
26,TAHSISH RIVER,Pink,Periodic/PL+D,StAD/KCFN,Nov 3NA9,6,14,0,10
27,CAYEGHLE SYSTEM,Pink,Periodic/PL+D,Wildcoast/Quatsino,Sep 29NA Oct 5,4,0,0,10
27,MARBLE RIVER,Pink,Periodic/PL+D,Wildcoast/Quatsino,Sep 29NA Oct 5,4,0,0,10
20,RENFREW CREEK,Sockeye,Periodic/PL+D,PFN,Oct 20NA26,1,8,10,20
20,SAN JUAN RIVER,Sockeye,Mixed/PL+D,PFN/4Mile Crk,Oct 20NA26,3,16,20,160
20,GORDON RIVER,Sockeye,Periodic/PL+D,PFN,Sep 29NA Oct 5,1,0,20,20
21,KLANAWA RIVER,Sockeye,Periodic/PL+D,HFN,Oct 27NANov 2,4,0,0,NA
22,NITINAT RIVER,Sockeye,Periodic/PL+D,MCWright/Nitinat,Nov 3NA9,6,230,140,370
22,HOBITON CREEK,Sockeye,Periodic/PL+D,Ditidaht/MCWright,Oct 20NA26,1,5,70,4280
23,SOMASS SYSTEM,Sockeye,Fence/Cumulative,Hup/StAD,Oct 27NANov 2,NA,397803,N/A,N/A
23,SARITA RIVER,Sockeye,Periodic/PL+D,HFN,Oct 6NA12,8,14,20,40
23,TOQUAHT RIVER,Sockeye,Periodic/PL+D,TCES,Oct 6NA12,2,9,20,60
23,PARADISE CREEK,Sockeye,Periodic/PL+D,TCES,Nov 3NA9,1,0,NA,NA
23,CLEMENS CREEK,Sockeye,Periodic/PL+D,Redd,Oct 27NANov 2,9,1858,7630,12190
23,EFFINGHAM RIVER,Sockeye,Periodic/PL+D,TCES,Oct 20NA26,2,13,10,NA
23,NAHMINT RIVER,Sockeye,Periodic/PL+D,Redd,Oct 27NANov 2,7,418,620,930
24,BEDWELL RIVER,Sockeye,Periodic/PL+D,TSES,Nov 3NA9,5,191,50,320
24,MEGIN RIVER,Sockeye,Periodic/PL+D,TSES,Sep 29NA Oct 5,3,1,1120,1180
24,MOYEHA RIVER,Sockeye,Periodic/PL+D,TSES/NTC/Ha'oom,Sep 29NA Oct 5,4,161,150,180
24,CYPRE RIVER,Sockeye,Periodic/PL+D,TSES,Oct 20NA26,3,15,10,40
24,SYDNEY RIVER,Sockeye,Periodic/PL+D,Redd,Sep 29NA Oct 5,1,8,20,30
24,TRANQUIL CREEK,Sockeye,Periodic/PL+D,TSES,Oct 27NANov 2,5,17,50,280
24,KENNEDY RIVER (UPPER),Sockeye,Periodic/PL+D,Ha'oom,Oct 20NA26,3,3000,2010,2800
25,CHUM CREEK,Sockeye,Periodic/PL+D,NFN,Oct 27NANov 2,4,0,0,0
25,LITTLE ZEBALLOS RIVER,Sockeye,Periodic/PL+D,EFN/Wildcoast,Sept 15NA21,1,1,30,40
25,ZEBALLOS RIVER,Sockeye,Periodic/PL+D,EFN/Wildcoast,Oct 20NA26,2,305,530,940
25,ESPINOSA CREEK,Sockeye,Periodic/PL+D,NFN,Oct 27NANov 2,4,6,10,20
25,HAMMOND CREEK,Sockeye,Periodic/PL+D,EFN/Wildcoast,Oct 20NA26,2,1,0,NA
24,ESCALANTE RIVER,Sockeye,Periodic/PL+D,Redd,Oct 13NA19,1,6,NA,NA
25,BURMAN RIVER,Sockeye,Periodic/PL+D,MMFN,Sep 29NA Oct 5,2,32,310,610
25,CANTON CREEK,Sockeye,Periodic/PL+D,MMFN,Sep 29NA Oct 5,3,2,10,20
25,CONUMA RIVER,Sockeye,Periodic/PL+D,Ecofish/Conuma,Oct 20NA26,5,16,70,90
25,LEINER RIVER,Sockeye,Periodic/PL+D,Ecofish,Oct 27NANov 2,7,72,510,620
25,TAHSIS RIVER,Sockeye,Periodic/PL+D,Ecofish,Oct 27NANov 2,6,71,220,300
25,GOLD RIVER,Sockeye,Periodic/PL+D,Ecofish,Oct 20NA26,5,240,410,NA
26,ARTLISH RIVER,Sockeye,Periodic/PL+D,KCFN,Oct 20NA26,4,0,10,10
26,KAOUK RIVER,Sockeye,Periodic/PL+D,KCFN,Sep 29NA Oct 5,3,7,20,40
26,MALKSOPE RIVER,Sockeye,Periodic/PL+D,KCFN,Sep 29NA Oct 5,2,0,0,10
26,TAHSISH RIVER,Sockeye,Periodic/PL+D,StAD/KCFN,Nov 3NA9,6,33,20,60
27,CAYEGHLE SYSTEM,Sockeye,Periodic/PL+D,Wildcoast/Quatsino,Sep 29NA Oct 5,4,2,0,10
27,MARBLE RIVER,Sockeye,Periodic/PL+D,Wildcoast/Quatsino,Sep 29NA Oct 5,4,0,0,NA
