"Stock","Year","Period","Escapement","Smsy","Umsy","LowerGoal","RateType","Rate"
"Situk",2008,"1999-2008",413,NA,0.81008208,500,"calendar year exploitation rate",0.501809409
"Situk",2009,"2009-2018",902,NA,0.81008208,500,"calendar year exploitation rate",0.493542953
"Situk",2010,"2009-2018",197,NA,0.81008208,500,"calendar year exploitation rate",0.726008345
"Situk",2011,"2009-2018",240,NA,0.81008208,500,"calendar year exploitation rate",0.215686275
"Situk",2012,"2009-2018",322,NA,0.81008208,500,"calendar year exploitation rate",0.26146789
"Situk",2013,"2009-2018",912,NA,0.81008208,500,"calendar year exploitation rate",0.339130435
"Situk",2014,"2009-2018",475,NA,0.81008208,500,"calendar year exploitation rate",0.225122349
"Situk",2015,"2009-2018",174,NA,0.81008208,500,"calendar year exploitation rate",0.107692308
"Situk",2016,"2009-2018",329,NA,0.81008208,500,"calendar year exploitation rate",0.162849873
"Situk",2017,"2009-2018",1187,NA,0.81008208,500,"calendar year exploitation rate",0.020627063
"Situk",2018,"2009-2018",420,NA,0.81008208,500,"calendar year exploitation rate",0.004739336
"Situk",2019,"2019-2028",623,NA,0.81008208,500,"calendar year exploitation rate",0
"Situk",2020,"2019-2028",1197,NA,0.81008208,500,"calendar year exploitation rate",0
"Situk",2021,"2019-2028",1064,NA,0.81008208,500,"calendar year exploitation rate",0.061728395
"Situk",2022,"2019-2028",890,NA,0.81008208,500,"calendar year exploitation rate",0.013303769
"Situk",2023,"2019-2028",144,NA,0.81008208,500,"calendar year exploitation rate",0
"Situk",2024,"2019-2028",517,NA,0.81008208,500,"calendar year exploitation rate",0
"Alsek",1975,"1975-1984",NA,NA,0.58137892,3500,"calendar year exploitation rate",NA
"Alsek",1976,"1975-1984",5282,NA,0.58137892,3500,"calendar year exploitation rate",0.142114666
"Alsek",1977,"1975-1984",12706,NA,0.58137892,3500,"calendar year exploitation rate",0.140092041
"Alsek",1978,"1975-1984",12034,NA,0.58137892,3500,"calendar year exploitation rate",0.204363636
"Alsek",1979,"1975-1984",17354,NA,0.58137892,3500,"calendar year exploitation rate",0.207905427
"Alsek",1980,"1975-1984",10718,NA,0.58137892,3500,"calendar year exploitation rate",0.143039898
"Alsek",1981,"1975-1984",8587,NA,0.58137892,3500,"calendar year exploitation rate",0.129372402
"Alsek",1982,"1975-1984",9584,NA,0.58137892,3500,"calendar year exploitation rate",0.114805579
"Alsek",1983,"1975-1984",10344,NA,0.58137892,3500,"calendar year exploitation rate",0.066510243
"Alsek",1984,"1975-1984",7213,NA,0.58137892,3500,"calendar year exploitation rate",0.080912334
"Alsek",1985,"1985-1998",6087,NA,0.58137892,3500,"calendar year exploitation rate",0.097018247
"Alsek",1986,"1985-1998",11069,NA,0.58137892,3500,"calendar year exploitation rate",0.065039277
"Alsek",1987,"1985-1998",11276,NA,0.58137892,3500,"calendar year exploitation rate",0.071322682
"Alsek",1988,"1985-1998",8852,NA,0.58137892,3500,"calendar year exploitation rate",0.056289979
"Alsek",1989,"1985-1998",10178,NA,0.58137892,3500,"calendar year exploitation rate",0.068971826
"Alsek",1990,"1985-1998",8775,NA,0.58137892,3500,"calendar year exploitation rate",0.094894275
"Alsek",1991,"1985-1998",11667,NA,0.58137892,3500,"calendar year exploitation rate",0.081700118
"Alsek",1992,"1985-1998",5773,NA,0.58137892,3500,"calendar year exploitation rate",0.089432177
"Alsek",1993,"1985-1998",13917,NA,0.58137892,3500,"calendar year exploitation rate",0.045342297
"Alsek",1994,"1985-1998",15970,NA,0.58137892,3500,"calendar year exploitation rate",0.077997806
"Alsek",1995,"1985-1998",24772,NA,0.58137892,3500,"calendar year exploitation rate",0.086477118
"Alsek",1996,"1985-1998",15922,NA,0.58137892,3500,"calendar year exploitation rate",0.108111136
"Alsek",1997,"1985-1998",12494,NA,0.58137892,3500,"calendar year exploitation rate",0.083345561
"Alsek",1998,"1985-1998",6833,NA,0.58137892,3500,"calendar year exploitation rate",0.123074949
"Alsek",1999,"1999-2008",14615,NA,0.58137892,3500,"calendar year exploitation rate",0.060309908
"Alsek",2000,"1999-2008",7905,NA,0.58137892,3500,"calendar year exploitation rate",0.101398204
"Alsek",2001,"1999-2008",6705,NA,0.58137892,3500,"calendar year exploitation rate",0.11097852
"Alsek",2002,"1999-2008",5569,NA,0.58137892,3500,"calendar year exploitation rate",0.162052362
"Alsek",2003,"1999-2008",5904,NA,0.58137892,3500,"calendar year exploitation rate",0.167630058
"Alsek",2004,"1999-2008",7083,NA,0.58137892,3500,"calendar year exploitation rate",0.11184953
"Alsek",2005,"1999-2008",4390,NA,0.58137892,3500,"calendar year exploitation rate",0.162852784
"Alsek",2006,"1999-2008",2321,NA,0.58137892,3500,"calendar year exploitation rate",0.239515072
"Alsek",2007,"1999-2008",2827,NA,0.58137892,3500,"calendar year exploitation rate",0.234704927
"Alsek",2008,"1999-2008",1885,NA,0.58137892,3500,"calendar year exploitation rate",0.251687177
"Alsek",2009,"2009-2018",6239,NA,0.58137892,3500,"calendar year exploitation rate",0.161875336
"Alsek",2010,"2009-2018",9526,NA,0.58137892,3500,"calendar year exploitation rate",0.062678343
"Alsek",2011,"2009-2018",6850,NA,0.58137892,3500,"calendar year exploitation rate",0.105043115
"Alsek",2012,"2009-2018",3027,NA,0.58137892,3500,"calendar year exploitation rate",0.230945122
"Alsek",2013,"2009-2018",4992,NA,0.58137892,3500,"calendar year exploitation rate",0.101026472
"Alsek",2014,"2009-2018",3357,NA,0.58137892,3500,"calendar year exploitation rate",0.256313691
"Alsek",2015,"2009-2018",5697,NA,0.58137892,3500,"calendar year exploitation rate",0.065146045
"Alsek",2016,"2009-2018",2514,NA,0.58137892,3500,"calendar year exploitation rate",0.084819803
"Alsek",2017,"2009-2018",1741,NA,0.58137892,3500,"calendar year exploitation rate",0.096053998
"Alsek",2018,"2009-2018",4348,NA,0.58137892,3500,"calendar year exploitation rate",0.025985663
"Alsek",2019,"2019-2028",6319,NA,0.58137892,3500,"calendar year exploitation rate",0.021068939
"Alsek",2020,"2019-2028",5330,NA,0.58137892,3500,"calendar year exploitation rate",0.04050405
"Alsek",2021,"2019-2028",5562,NA,0.58137892,3500,"calendar year exploitation rate",0.065838092
"Alsek",2022,"2019-2028",3351,NA,0.58137892,3500,"calendar year exploitation rate",0.03955288
"Alsek",2023,"2019-2028",4185,NA,0.58137892,3500,"calendar year exploitation rate",0.044738644
"Alsek",2024,"2019-2028",4771,NA,0.58137892,3500,"calendar year exploitation rate",0.047134012
"Taku",1975,"1975-1984",12920,NA,0.5925,19000,"calendar year exploitation rate",0.052682134
"Taku",1976,"1975-1984",24582,NA,0.5925,19000,"calendar year exploitation rate",0.040828747
"Taku",1977,"1975-1984",29497,NA,0.5925,19000,"calendar year exploitation rate",0.084052533
"Taku",1978,"1975-1984",17124,NA,0.5925,19000,"calendar year exploitation rate",0.101196578
"Taku",1979,"1975-1984",21617,NA,0.5925,19000,"calendar year exploitation rate",0.165364729
"Taku",1980,"1975-1984",39239,NA,0.5925,19000,"calendar year exploitation rate",0.133416065
"Taku",1981,"1975-1984",49559,NA,0.5925,19000,"calendar year exploitation rate",0.115571319
"Taku",1982,"1975-1984",23848,NA,0.5925,19000,"calendar year exploitation rate",0.170478904
"Taku",1983,"1975-1984",9794,NA,0.5925,19000,"calendar year exploitation rate",0.149044879
"Taku",1984,"1975-1984",20778,NA,0.5925,19000,"calendar year exploitation rate",0.148102728
"Taku",1985,"1985-1998",35916,NA,0.5925,19000,"calendar year exploitation rate",0.083611061
"Taku",1986,"1985-1998",38111,NA,0.5925,19000,"calendar year exploitation rate",0.064216594
"Taku",1987,"1985-1998",28935,NA,0.5925,19000,"calendar year exploitation rate",0.062603407
"Taku",1988,"1985-1998",44524,NA,0.5925,19000,"calendar year exploitation rate",0.061909578
"Taku",1989,"1985-1998",40329,NA,0.5925,19000,"calendar year exploitation rate",0.108401773
"Taku",1990,"1985-1998",52142,NA,0.5925,19000,"calendar year exploitation rate",0.109431247
"Taku",1991,"1985-1998",51645,NA,0.5925,19000,"calendar year exploitation rate",0.119850913
"Taku",1992,"1985-1998",55889,NA,0.5925,19000,"calendar year exploitation rate",0.096495493
"Taku",1993,"1985-1998",66125,NA,0.5925,19000,"calendar year exploitation rate",0.141868584
"Taku",1994,"1985-1998",48368,NA,0.5925,19000,"calendar year exploitation rate",0.137583432
"Taku",1995,"1985-1998",33805,NA,0.5925,19000,"calendar year exploitation rate",0.130071888
"Taku",1996,"1985-1998",79019,NA,0.5925,19000,"calendar year exploitation rate",0.110955075
"Taku",1997,"1985-1998",114938,NA,0.5925,19000,"calendar year exploitation rate",0.096178458
"Taku",1998,"1985-1998",31039,NA,0.5925,19000,"calendar year exploitation rate",0.102334091
"Taku",1999,"1999-2008",16786,NA,0.5925,19000,"calendar year exploitation rate",0.198537308
"Taku",2000,"1999-2008",34997,NA,0.5925,19000,"calendar year exploitation rate",0.132046843
"Taku",2001,"1999-2008",46544,NA,0.5925,19000,"calendar year exploitation rate",0.132527029
"Taku",2002,"1999-2008",55044,NA,0.5925,19000,"calendar year exploitation rate",0.142750943
"Taku",2003,"1999-2008",36435,NA,0.5925,19000,"calendar year exploitation rate",0.155903327
"Taku",2004,"1999-2008",75032,NA,0.5925,19000,"calendar year exploitation rate",0.11999233
"Taku",2005,"1999-2008",38725,NA,0.5925,19000,"calendar year exploitation rate",0.429767195
"Taku",2006,"1999-2008",42191,NA,0.5925,19000,"calendar year exploitation rate",0.339741402
"Taku",2007,"1999-2008",14749,NA,0.5925,19000,"calendar year exploitation rate",0.371058355
"Taku",2008,"1999-2008",26645,NA,0.5925,19000,"calendar year exploitation rate",0.243587831
"Taku",2009,"2009-2018",22761,NA,0.5925,19000,"calendar year exploitation rate",0.430846989
"Taku",2010,"2009-2018",28769,NA,0.5925,19000,"calendar year exploitation rate",0.273757795
"Taku",2011,"2009-2018",19672,NA,0.5925,19000,"calendar year exploitation rate",0.317508662
"Taku",2012,"2009-2018",16713,NA,0.5925,19000,"calendar year exploitation rate",0.341165637
"Taku",2013,"2009-2018",18002,NA,0.5925,19000,"calendar year exploitation rate",0.166301438
"Taku",2014,"2009-2018",23532,NA,0.5925,19000,"calendar year exploitation rate",0.196495482
"Taku",2015,"2009-2018",23567,NA,0.5925,19000,"calendar year exploitation rate",0.183526397
"Taku",2016,"2009-2018",9177,NA,0.5925,19000,"calendar year exploitation rate",0.290513388
"Taku",2017,"2009-2018",8214,NA,0.5925,19000,"calendar year exploitation rate",0.247824093
"Taku",2018,"2009-2018",7271,NA,0.5925,19000,"calendar year exploitation rate",0.196373353
"Taku",2019,"2019-2028",11558,NA,0.5925,19000,"calendar year exploitation rate",0.051456709
"Taku",2020,"2019-2028",15593,NA,0.5925,19000,"calendar year exploitation rate",0.068295889
"Taku",2021,"2019-2028",11341,NA,0.5925,19000,"calendar year exploitation rate",0.068806963
"Taku",2022,"2019-2028",12722,NA,0.5925,19000,"calendar year exploitation rate",0.111654214
"Taku",2023,"2019-2028",14571,NA,0.5925,19000,"calendar year exploitation rate",0.079423509
"Taku",2024,"2019-2028",24518,NA,0.5925,19000,"calendar year exploitation rate",0.052188032
"Chilkat",1975,"1975-1984",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1976,"1975-1984",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1977,"1975-1984",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1978,"1975-1984",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1979,"1975-1984",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1980,"1975-1984",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1981,"1975-1984",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1982,"1975-1984",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1983,"1975-1984",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1984,"1975-1984",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1985,"1985-1998",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1986,"1985-1998",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1987,"1985-1998",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1988,"1985-1998",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1989,"1985-1998",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1990,"1985-1998",NA,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1991,"1985-1998",5882,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1992,"1985-1998",5277,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1993,"1985-1998",4463,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1994,"1985-1998",6792,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1995,"1985-1998",3768,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1996,"1985-1998",4902,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1997,"1985-1998",8089,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1998,"1985-1998",3656,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",1999,"1999-2008",2258,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",2000,"1999-2008",2029,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",2001,"1999-2008",4514,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",2002,"1999-2008",4034,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",2003,"1999-2008",5631,NA,0.399374157,1750,"calendar year exploitation rate",NA
"Chilkat",2004,"1999-2008",3406,NA,0.399374157,1750,"calendar year exploitation rate",0.206117358
"Chilkat",2005,"1999-2008",3361,NA,0.399374157,1750,"calendar year exploitation rate",0.13580791
"Chilkat",2006,"1999-2008",3003,NA,0.399374157,1750,"calendar year exploitation rate",0.120835374
"Chilkat",2007,"1999-2008",1435,NA,0.399374157,1750,"calendar year exploitation rate",0.325345764
"Chilkat",2008,"1999-2008",2881,NA,0.399374157,1750,"calendar year exploitation rate",0.23013725
"Chilkat",2009,"2009-2018",4406,NA,0.399374157,1750,"calendar year exploitation rate",0.099225603
"Chilkat",2010,"2009-2018",1797,NA,0.399374157,1750,"calendar year exploitation rate",0.372411052
"Chilkat",2011,"2009-2018",2674,NA,0.399374157,1750,"calendar year exploitation rate",0.290338983
"Chilkat",2012,"2009-2018",1723,NA,0.399374157,1750,"calendar year exploitation rate",0.374595243
"Chilkat",2013,"2009-2018",1719,NA,0.399374157,1750,"calendar year exploitation rate",0.188018748
"Chilkat",2014,"2009-2018",1529,NA,0.399374157,1750,"calendar year exploitation rate",0.416111398
"Chilkat",2015,"2009-2018",2452,NA,0.399374157,1750,"calendar year exploitation rate",0.223529776
"Chilkat",2016,"2009-2018",1380,NA,0.399374157,1750,"calendar year exploitation rate",0.231655359
"Chilkat",2017,"2009-2018",1173,NA,0.399374157,1750,"calendar year exploitation rate",0.169007605
"Chilkat",2018,"2009-2018",873,NA,0.399374157,1750,"calendar year exploitation rate",0.183260586
"Chilkat",2019,"2019-2028",2028,NA,0.399374157,1750,"calendar year exploitation rate",0.041359077
"Chilkat",2020,"2019-2028",3180,NA,0.399374157,1750,"calendar year exploitation rate",0.024240565
"Chilkat",2021,"2019-2028",2038,NA,0.399374157,1750,"calendar year exploitation rate",0.058660508
"Chilkat",2022,"2019-2028",1582,NA,0.399374157,1750,"calendar year exploitation rate",0.027060271
"Chilkat",2023,"2019-2028",2234,NA,0.399374157,1750,"calendar year exploitation rate",0.035405872
"Chilkat",2024,"2019-2028",2070,NA,0.399374157,1750,"calendar year exploitation rate",0.058234759
"Stikine",1975,"1975-1984",7571,NA,0.415250411,14000,"calendar year exploitation rate",0.089829221
"Stikine",1976,"1975-1984",5723,NA,0.415250411,14000,"calendar year exploitation rate",0.069617805
"Stikine",1977,"1975-1984",11445,NA,0.415250411,14000,"calendar year exploitation rate",0.143319432
"Stikine",1978,"1975-1984",6835,NA,0.415250411,14000,"calendar year exploitation rate",0.172552041
"Stikine",1979,"1975-1984",12610,NA,0.415250411,14000,"calendar year exploitation rate",0.281966269
"Stikine",1980,"1975-1984",30573,NA,0.415250411,14000,"calendar year exploitation rate",0.227490047
"Stikine",1981,"1975-1984",36057,NA,0.415250411,14000,"calendar year exploitation rate",0.108624731
"Stikine",1982,"1975-1984",40488,NA,0.415250411,14000,"calendar year exploitation rate",0.148608644
"Stikine",1983,"1975-1984",6424,NA,0.415250411,14000,"calendar year exploitation rate",0.372423596
"Stikine",1984,"1975-1984",13995,NA,0.415250411,14000,"calendar year exploitation rate",0.20545697
"Stikine",1985,"1985-1998",16037,NA,0.415250411,14000,"calendar year exploitation rate",0.301873468
"Stikine",1986,"1985-1998",14889,NA,0.415250411,14000,"calendar year exploitation rate",0.351947403
"Stikine",1987,"1985-1998",24632,NA,0.415250411,14000,"calendar year exploitation rate",0.242539944
"Stikine",1988,"1985-1998",37554,NA,0.415250411,14000,"calendar year exploitation rate",0.1564948
"Stikine",1989,"1985-1998",24282,NA,0.415250411,14000,"calendar year exploitation rate",0.244417328
"Stikine",1990,"1985-1998",22619,NA,0.415250411,14000,"calendar year exploitation rate",0.284788421
"Stikine",1991,"1985-1998",23206,NA,0.415250411,14000,"calendar year exploitation rate",0.267005298
"Stikine",1992,"1985-1998",34129,NA,0.415250411,14000,"calendar year exploitation rate",0.1711688
"Stikine",1993,"1985-1998",58962,NA,0.415250411,14000,"calendar year exploitation rate",0.127370114
"Stikine",1994,"1985-1998",33094,NA,0.415250411,14000,"calendar year exploitation rate",0.165133304
"Stikine",1995,"1985-1998",16784,NA,0.415250411,14000,"calendar year exploitation rate",0.213931686
"Stikine",1996,"1985-1998",28949,NA,0.415250411,14000,"calendar year exploitation rate",0.183117536
"Stikine",1997,"1985-1998",26996,NA,0.415250411,14000,"calendar year exploitation rate",0.273991756
"Stikine",1998,"1985-1998",25968,NA,0.415250411,14000,"calendar year exploitation rate",0.139164164
"Stikine",1999,"1999-2008",19947,NA,0.415250411,14000,"calendar year exploitation rate",0.296676893
"Stikine",2000,"1999-2008",27531,NA,0.415250411,14000,"calendar year exploitation rate",0.184618629
"Stikine",2001,"1999-2008",63523,NA,0.415250411,14000,"calendar year exploitation rate",0.089168034
"Stikine",2002,"1999-2008",50875,NA,0.415250411,14000,"calendar year exploitation rate",0.12655193
"Stikine",2003,"1999-2008",46824,NA,0.415250411,14000,"calendar year exploitation rate",0.146739465
"Stikine",2004,"1999-2008",48900,NA,0.415250411,14000,"calendar year exploitation rate",0.233517506
"Stikine",2005,"1999-2008",39833,NA,0.415250411,14000,"calendar year exploitation rate",0.47796766
"Stikine",2006,"1999-2008",24405,NA,0.415250411,14000,"calendar year exploitation rate",0.53677973
"Stikine",2007,"1999-2008",14560,NA,0.415250411,14000,"calendar year exploitation rate",0.64171881
"Stikine",2008,"1999-2008",18352,NA,0.415250411,14000,"calendar year exploitation rate",0.480136071
"Stikine",2009,"2009-2018",12972,NA,0.415250411,14000,"calendar year exploitation rate",0.389179263
"Stikine",2010,"2009-2018",15148,NA,0.415250411,14000,"calendar year exploitation rate",0.356270011
"Stikine",2011,"2009-2018",14511,NA,0.415250411,14000,"calendar year exploitation rate",0.366170206
"Stikine",2012,"2009-2018",22332,NA,0.415250411,14000,"calendar year exploitation rate",0.338177015
"Stikine",2013,"2009-2018",16784,NA,0.415250411,14000,"calendar year exploitation rate",0.314524485
"Stikine",2014,"2009-2018",24374,NA,0.415250411,14000,"calendar year exploitation rate",0.214243111
"Stikine",2015,"2009-2018",21597,NA,0.415250411,14000,"calendar year exploitation rate",0.245796952
"Stikine",2016,"2009-2018",10554,NA,0.415250411,14000,"calendar year exploitation rate",0.371718186
"Stikine",2017,"2009-2018",7335,NA,0.415250411,14000,"calendar year exploitation rate",0.248125308
"Stikine",2018,"2009-2018",8603,NA,0.415250411,14000,"calendar year exploitation rate",0.029385009
"Stikine",2019,"2019-2028",13817,NA,0.415250411,14000,"calendar year exploitation rate",0.107025745
"Stikine",2020,"2019-2028",9753,NA,0.415250411,14000,"calendar year exploitation rate",0.092564522
"Stikine",2021,"2019-2028",8376,NA,0.415250411,14000,"calendar year exploitation rate",0.123574343
"Stikine",2022,"2019-2028",9090,NA,0.415250411,14000,"calendar year exploitation rate",0.179010116
"Stikine",2023,"2019-2028",12795,NA,0.415250411,14000,"calendar year exploitation rate",0.106432013
"Stikine",2024,"2019-2028",9835,NA,0.415250411,14000,"calendar year exploitation rate",0.150275103
"Unuk",1975,"1975-1984",NA,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1976,"1975-1984",NA,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1977,"1975-1984",4706,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1978,"1975-1984",5344,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1979,"1975-1984",2783,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1980,"1975-1984",4909,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1981,"1975-1984",3532,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1982,"1975-1984",6528,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1983,"1975-1984",5436,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1984,"1975-1984",8876,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1985,"1985-1998",5721,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1986,"1985-1998",10273,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1987,"1985-1998",9533,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1988,"1985-1998",8437,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1989,"1985-1998",5552,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1990,"1985-1998",2856,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1991,"1985-1998",3165,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1992,"1985-1998",4223,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1993,"1985-1998",5160,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1994,"1985-1998",3435,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1995,"1985-1998",3730,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1996,"1985-1998",5639,NA,0.600630302,1800,"calendar year exploitation rate",NA
"Unuk",1997,"1985-1998",2970,NA,0.600630302,1800,"calendar year exploitation rate",0.082552338
"Unuk",1998,"1985-1998",4132,NA,0.600630302,1800,"calendar year exploitation rate",0.122156263
"Unuk",1999,"1999-2008",3914,NA,0.600630302,1800,"calendar year exploitation rate",0.246496831
"Unuk",2000,"1999-2008",5872,NA,0.600630302,1800,"calendar year exploitation rate",0.209817153
"Unuk",2001,"1999-2008",10541,NA,0.600630302,1800,"calendar year exploitation rate",0.136617131
"Unuk",2002,"1999-2008",6988,NA,0.600630302,1800,"calendar year exploitation rate",0.165359472
"Unuk",2003,"1999-2008",5546,NA,0.600630302,1800,"calendar year exploitation rate",0.200915151
"Unuk",2004,"1999-2008",3963,NA,0.600630302,1800,"calendar year exploitation rate",0.185665359
"Unuk",2005,"1999-2008",4742,NA,0.600630302,1800,"calendar year exploitation rate",0.356491408
"Unuk",2006,"1999-2008",5645,NA,0.600630302,1800,"calendar year exploitation rate",0.213124643
"Unuk",2007,"1999-2008",5668,NA,0.600630302,1800,"calendar year exploitation rate",0.288022957
"Unuk",2008,"1999-2008",3104,NA,0.600630302,1800,"calendar year exploitation rate",0.20665215
"Unuk",2009,"2009-2018",3157,NA,0.600630302,1800,"calendar year exploitation rate",0.264179589
"Unuk",2010,"2009-2018",3835,NA,0.600630302,1800,"calendar year exploitation rate",0.291424939
"Unuk",2011,"2009-2018",3195,NA,0.600630302,1800,"calendar year exploitation rate",0.368815362
"Unuk",2012,"2009-2018",956,NA,0.600630302,1800,"calendar year exploitation rate",0.743837219
"Unuk",2013,"2009-2018",1135,NA,0.600630302,1800,"calendar year exploitation rate",0.62583912
"Unuk",2014,"2009-2018",1691,NA,0.600630302,1800,"calendar year exploitation rate",0.457120674
"Unuk",2015,"2009-2018",2623,NA,0.600630302,1800,"calendar year exploitation rate",0.580678247
