parameter,location,species,year,datavalue
Year1,Babine (enhanced),Lake sockeye,2005,0
Year1,Babine (enhanced),Lake sockeye,2006,0
Year1,Babine (enhanced),Lake sockeye,2008,0
Year1,Babine (enhanced),Lake sockeye,2009,0
Year1,Babine (enhanced),Lake sockeye,2010,0
Year1,Babine/Onerka,Lake sockeye,1989,0
Year1,Babine/Onerka,Lake sockeye,1990,0
Year1,Babine/Onerka,Lake sockeye,1991,0
Year1,Babine/Onerka,Lake sockeye,1992,0
Year1,Babine/Onerka,Lake sockeye,1993,0
Year1,Babine/Onerka,Lake sockeye,1994,0
Year1,Babine/Onerka,Lake sockeye,1995,0
Year1,Babine/Onerka,Lake sockeye,1996,0
Year1,Babine/Onerka,Lake sockeye,1997,0
Year1,Babine/Onerka,Lake sockeye,1998,0
Year1,Babine/Onerka,Lake sockeye,2008,0
Year1,Bear,Lake sockeye,1996,0
Year1,Damshilgwit,Lake sockeye,2004,0
Year1,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2002,0
Year1,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2003,0
Year1,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2004,0
Year1,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2005,0
Year1,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2006,0
Year1,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2007,0
Year1,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2008,0
Year1,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2009,0
Year1,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2010,0
Year1,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2011,0
Year1,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2012,0
Year1,Lakelse,Lake sockeye,2010,0
Year1,Morice/Atna,Lake sockeye,1996,0
Year1,Nilkitkwa,Lake sockeye,1989,0
Year1,Nilkitkwa,Lake sockeye,1990,0
Year1,Nilkitkwa,Lake sockeye,1991,0
Year1,Nilkitkwa,Lake sockeye,1992,0
Year1,Nilkitkwa,Lake sockeye,1993,0
Year1,Nilkitkwa,Lake sockeye,1994,0
Year1,Nilkitkwa,Lake sockeye,1995,0
Year1,Nilkitkwa,Lake sockeye,1996,0
Year1,Nilkitkwa,Lake sockeye,1997,0
Year1,Nilkitkwa,Lake sockeye,1998,0
Year1,Nilkitkwa,Lake sockeye,1999,0
Year1,Nilkitkwa,Lake sockeye,2000,0
Year1,Nilkitkwa,Lake sockeye,2001,0
Year1,Nilkitkwa,Lake sockeye,2002,0
Year1,Nilkitkwa,Lake sockeye,2003,0
Year1,Nilkitkwa,Lake sockeye,2004,0
Year1,Nilkitkwa,Lake sockeye,2005,0
Year1,Nilkitkwa,Lake sockeye,2006,0
Year1,Nilkitkwa,Lake sockeye,2008,0
Year1,Nilkitkwa,Lake sockeye,2009,0
Year1,Nilkitkwa,Lake sockeye,2010,0
Year1,Slamgeesh,Lake sockeye,2001,0
Year1,Slamgeesh,Lake sockeye,2002,0
Year1,Slamgeesh,Lake sockeye,2003,0
Year1,Slamgeesh,Lake sockeye,2004,0
Year1,Slamgeesh,Lake sockeye,2005,0
Year1,Slamgeesh,Lake sockeye,2006,0
Year1,Slamgeesh,Lake sockeye,2007,0
Year1,Sustut,Lake sockeye,1997,0
Year1,Sustut,Lake sockeye,1999,0
Year1,Swan/Club,Lake sockeye,1996,0
Year1,Tahlo/Morrison,Lake sockeye,1989,0
Year1,Tahlo/Morrison,Lake sockeye,1990,0
Year1,Tahlo/Morrison,Lake sockeye,1991,0
Year1,Tahlo/Morrison,Lake sockeye,1992,0
Year1,Tahlo/Morrison,Lake sockeye,1993,0
Year1,Tahlo/Morrison,Lake sockeye,1994,0
Year1,Tahlo/Morrison,Lake sockeye,1995,0
Year1,Tahlo/Morrison,Lake sockeye,1996,0
Year1,Tahlo/Morrison,Lake sockeye,1997,0
Year1,Tahlo/Morrison,Lake sockeye,1998,0
Year1,Tahlo/Morrison,Lake sockeye,1999,0
Year1,Tahlo/Morrison,Lake sockeye,2000,0
Year1,Tahlo/Morrison,Lake sockeye,2001,0
Year1,Tahlo/Morrison,Lake sockeye,2002,0
Year1,Tahlo/Morrison,Lake sockeye,2003,0
Year1,Tahlo/Morrison,Lake sockeye,2004,0
Year1,Tahlo/Morrison,Lake sockeye,2005,0
Year1,Tahlo/Morrison,Lake sockeye,2006,0
Year1,Tahlo/Morrison,Lake sockeye,2008,0
Year1,Tahlo/Morrison,Lake sockeye,2009,0
Year1,Tahlo/Morrison,Lake sockeye,2010,0
Year2,Kalum-Early,Chinook,1992,0
Year2,Kalum-Early,Chinook,1993,0
Year2,Kalum-Early,Chinook,1994,0
Year2,Kalum-Early,Chinook,1995,0
Year2,Kalum-Early,Chinook,1996,0
Year2,Kalum-Early,Chinook,1997,0
Year2,Kalum-Late,Chinook,1989,0
Year2,Kalum-Late,Chinook,1990,0
Year2,Kalum-Late,Chinook,1991,0
Year2,Kalum-Late,Chinook,1992,0
Year2,Kalum-Late,Chinook,1993,1
Year2,Kalum-Late,Chinook,1994,0
Year2,Kalum-Late,Chinook,1995,0
Year2,Kalum-Late,Chinook,1996,0
Year2,Kalum-Late,Chinook,1997,0
Year2,Kalum-Late,Chinook,1998,0
Year2,Kalum-Late,Chinook,1999,0
Year2,Kalum-Late,Chinook,2000,0
Year2,Kalum-Late,Chinook,2001,0
Year2,Kalum-Late,Chinook,2002,0
Year2,Kalum-Late,Chinook,2003,0
Year2,Kalum-Late,Chinook,2004,0
Year2,Kalum-Late,Chinook,2005,0
Year2,Kalum-Late,Chinook,2006,0
Year2,Kalum-Late,Chinook,2007,1
Year2,Kalum-Late,Chinook,2008,0
Year2,Kalum-Late,Chinook,2009,0
Year2,Kalum-Late,Chinook,2010,0
Year2,Lower Skeena,Chinook,2008,0
Year2,Middle Skeena-Large Lakes,Chinook,1990,0
Year2,Middle Skeena-Large Lakes,Chinook,1991,0
Year2,Middle Skeena-Large Lakes,Chinook,1992,0
Year2,Middle Skeena-Large Lakes,Chinook,1993,0
Year2,Middle Skeena-Large Lakes,Chinook,1994,0
Year2,Middle Skeena-Large Lakes,Chinook,1995,0
Year2,Middle Skeena-Large Lakes,Chinook,1996,0
Year2,Middle Skeena-Large Lakes,Chinook,1997,0
Year2,Middle Skeena-Large Lakes,Chinook,1998,0
Year2,Middle Skeena-Large Lakes,Chinook,1999,0
Year2,Middle Skeena-Large Lakes,Chinook,2000,0
Year2,Middle Skeena-Large Lakes,Chinook,2001,0
Year2,Middle Skeena-Large Lakes,Chinook,2003,0
Year2,Middle Skeena-Large Lakes,Chinook,2004,0
Year2,Middle Skeena-Large Lakes,Chinook,2005,0
Year2,Middle Skeena-Large Lakes,Chinook,2006,0
Year2,Middle Skeena-Large Lakes,Chinook,2008,0
Year2,Middle Skeena-Large Lakes,Chinook,2010,0
Year2,Middle Skeena-Mainstem Tributaries,Chinook,1989,0
Year2,Middle Skeena-Mainstem Tributaries,Chinook,1990,0
Year2,Middle Skeena-Mainstem Tributaries,Chinook,1991,0
Year2,Middle Skeena-Mainstem Tributaries,Chinook,1996,0
Year2,Middle Skeena-Mainstem Tributaries,Chinook,2005,0
Year2,Middle Skeena-Mainstem Tributaries,Chinook,2006,0
Year2,Middle Skeena-Mainstem Tributaries,Chinook,2009,0
Year2,Middle Skeena-Mainstem Tributaries,Chinook,2010,0
Year2,Upper Bulkley River,Chinook,1989,0
Year2,Upper Bulkley River,Chinook,1990,0
Year2,Upper Bulkley River,Chinook,1991,0
Year2,Upper Bulkley River,Chinook,1992,0
Year2,Upper Bulkley River,Chinook,1993,0
Year2,Upper Bulkley River,Chinook,1994,0
Year2,Upper Bulkley River,Chinook,1995,0
Year2,Upper Bulkley River,Chinook,1996,0
Year2,Upper Bulkley River,Chinook,1998,0
Year2,Upper Bulkley River,Chinook,1999,0
Year2,Upper Bulkley River,Chinook,2000,0
Year2,Upper Bulkley River,Chinook,2002,0
Year2,Upper Bulkley River,Chinook,2006,0
Year2,Upper Skeena,Chinook,1997,0
Year2,Upper Skeena,Chinook,1998,0
Year2,Upper Skeena,Chinook,1999,0
Year2,Upper Skeena,Chinook,2003,0
Year2,Upper Skeena,Chinook,2007,0
Year2,Upper Skeena,Chinook,2008,0
Year2,Upper Skeena,Chinook,2009,0
Year2,Upper Skeena,Chinook,2010,0
Year2,Lower Skeena,Chum,2000,0
Year2,Lower Skeena,Chum,2009,0
Year2,Middle Skeena,Chum,2004,0
Year2,Middle Skeena,Chum,2005,0
Year2,Middle Skeena,Chum,2006,0
Year2,Middle Skeena,Chum,2007,0
Year2,Middle Skeena,Chum,2009,0
Year2,Middle Skeena,Chum,2010,0
Year2,Lower Skeena,Coho,1996,0
Year2,Middle Skeena,Coho,1989,0
Year2,Middle Skeena,Coho,1990,0
Year2,Middle Skeena,Coho,1991,0
Year2,Middle Skeena,Coho,1992,0
Year2,Middle Skeena,Coho,1993,0
Year2,Middle Skeena,Coho,1994,0
Year2,Middle Skeena,Coho,1995,0
Year2,Middle Skeena,Coho,1996,0
Year2,Middle Skeena,Coho,1997,0
Year2,Middle Skeena,Coho,1998,0
Year2,Middle Skeena,Coho,1999,0
Year2,Middle Skeena,Coho,2000,0
Year2,Middle Skeena,Coho,2001,0
Year2,Middle Skeena,Coho,2002,0
Year2,Middle Skeena,Coho,2003,0
Year2,Middle Skeena,Coho,2004,0
Year2,Middle Skeena,Coho,2005,0
Year2,Middle Skeena,Coho,2006,0
Year2,Middle Skeena,Coho,2007,28
Year2,Middle Skeena,Coho,2008,0
Year2,Middle Skeena,Coho,2009,0
Year2,Middle Skeena,Coho,2010,0
Year2,Upper Skeena,Coho,1997,0
Year2,Upper Skeena,Coho,1998,0
Year2,Upper Skeena,Coho,1999,0
Year2,Upper Skeena,Coho,2002,0
Year2,Upper Skeena,Coho,2003,0
Year2,Upper Skeena,Coho,2004,0
Year2,Upper Skeena,Coho,2005,0
Year2,Upper Skeena,Coho,2006,0
Year2,Upper Skeena,Coho,2007,0
Year2,Alastair,Lake sockeye,1989,0
Year2,Alastair,Lake sockeye,1998,0
Year2,Babine-SL,Lake sockeye,1989,0
Year2,Babine-SL,Lake sockeye,1990,0
Year2,Babine-SL,Lake sockeye,1991,0
Year2,Babine-SL,Lake sockeye,1992,0
Year2,Babine-SL,Lake sockeye,1993,0
Year2,Babine-SL,Lake sockeye,1994,0
Year2,Babine-SL,Lake sockeye,1995,0
Year2,Babine-SL,Lake sockeye,1996,0
Year2,Babine-SL,Lake sockeye,1997,0
Year2,Babine-SL,Lake sockeye,1998,0
Year2,Babine-SL,Lake sockeye,1999,0
Year2,Babine-SL,Lake sockeye,2000,0
Year2,Babine-SL,Lake sockeye,2001,0
Year2,Babine-SL,Lake sockeye,2002,0
Year2,Babine-SL,Lake sockeye,2003,0
Year2,Babine-SL,Lake sockeye,2004,0
Year2,Babine-SL,Lake sockeye,2005,0
Year2,Babine-SL,Lake sockeye,2006,0
Year2,Babine-SL,Lake sockeye,2008,0
Year2,Babine-SL,Lake sockeye,2009,0
Year2,Babine-SL,Lake sockeye,2010,0
Year2,Babine (enhanced),Lake sockeye,1989,0
Year2,Babine (enhanced),Lake sockeye,1990,0
Year2,Babine (enhanced),Lake sockeye,1991,0
Year2,Babine (enhanced),Lake sockeye,1992,0
Year2,Babine (enhanced),Lake sockeye,1993,0
Year2,Babine (enhanced),Lake sockeye,1994,0
Year2,Babine (enhanced),Lake sockeye,1995,0
Year2,Babine (enhanced),Lake sockeye,1996,0
Year2,Babine (enhanced),Lake sockeye,1997,0
Year2,Babine (enhanced),Lake sockeye,1998,0
Year2,Babine (enhanced),Lake sockeye,1999,0
Year2,Babine (enhanced),Lake sockeye,2000,0
Year2,Babine (enhanced),Lake sockeye,2001,0
Year2,Babine (enhanced),Lake sockeye,2002,0
Year2,Babine (enhanced),Lake sockeye,2003,0
Year2,Babine (enhanced),Lake sockeye,2004,0
Year2,Babine (enhanced),Lake sockeye,2005,0
Year2,Babine (enhanced),Lake sockeye,2006,0
Year2,Babine (enhanced),Lake sockeye,2008,0
Year2,Babine (enhanced),Lake sockeye,2009,0
Year2,Babine (enhanced),Lake sockeye,2010,0
Year2,Babine/Onerka,Lake sockeye,1989,0
Year2,Babine/Onerka,Lake sockeye,1990,0
Year2,Babine/Onerka,Lake sockeye,1991,0
Year2,Babine/Onerka,Lake sockeye,1992,0
Year2,Babine/Onerka,Lake sockeye,1993,0
Year2,Babine/Onerka,Lake sockeye,1994,0
Year2,Babine/Onerka,Lake sockeye,1995,0
Year2,Babine/Onerka,Lake sockeye,1996,0
Year2,Babine/Onerka,Lake sockeye,1997,0
Year2,Babine/Onerka,Lake sockeye,1998,0
Year2,Babine/Onerka,Lake sockeye,2008,0
Year2,Bear,Lake sockeye,1996,0
Year2,Damshilgwit,Lake sockeye,2004,0
Year2,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2002,0
Year2,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2003,0
Year2,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2004,0
Year2,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2005,0
Year2,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2006,0
Year2,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2007,0
Year2,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2008,0
Year2,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2009,0
Year2,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2010,0
Year2,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2011,0
Year2,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,2012,0
Year2,Lakelse,Lake sockeye,2010,0
Year2,Morice/Atna,Lake sockeye,1996,0
Year2,Nilkitkwa,Lake sockeye,1989,0
Year2,Nilkitkwa,Lake sockeye,1990,0
Year2,Nilkitkwa,Lake sockeye,1991,0
Year2,Nilkitkwa,Lake sockeye,1992,0
Year2,Nilkitkwa,Lake sockeye,1993,0
Year2,Nilkitkwa,Lake sockeye,1994,0
Year2,Nilkitkwa,Lake sockeye,1995,0
Year2,Nilkitkwa,Lake sockeye,1996,0
Year2,Nilkitkwa,Lake sockeye,1997,0
Year2,Nilkitkwa,Lake sockeye,1998,0
Year2,Nilkitkwa,Lake sockeye,1999,0
Year2,Nilkitkwa,Lake sockeye,2000,0
Year2,Nilkitkwa,Lake sockeye,2001,0
Year2,Nilkitkwa,Lake sockeye,2002,0
Year2,Nilkitkwa,Lake sockeye,2003,0
Year2,Nilkitkwa,Lake sockeye,2004,0
Year2,Nilkitkwa,Lake sockeye,2005,0
Year2,Nilkitkwa,Lake sockeye,2006,0
Year2,Nilkitkwa,Lake sockeye,2008,0
Year2,Nilkitkwa,Lake sockeye,2009,0
Year2,Nilkitkwa,Lake sockeye,2010,0
Year2,Slamgeesh,Lake sockeye,2001,0
Year2,Slamgeesh,Lake sockeye,2002,0
Year2,Slamgeesh,Lake sockeye,2003,2
Year2,Slamgeesh,Lake sockeye,2004,0
Year2,Slamgeesh,Lake sockeye,2005,0
Year2,Slamgeesh,Lake sockeye,2006,0
Year2,Slamgeesh,Lake sockeye,2007,0
Year2,Sustut,Lake sockeye,1997,0
Year2,Sustut,Lake sockeye,1999,0
Year2,Swan/Club,Lake sockeye,1996,0
Year2,Tahlo/Morrison,Lake sockeye,1989,0
Year2,Tahlo/Morrison,Lake sockeye,1990,0
Year2,Tahlo/Morrison,Lake sockeye,1991,0
Year2,Tahlo/Morrison,Lake sockeye,1992,0
Year2,Tahlo/Morrison,Lake sockeye,1993,0
Year2,Tahlo/Morrison,Lake sockeye,1994,0
Year2,Tahlo/Morrison,Lake sockeye,1995,0
Year2,Tahlo/Morrison,Lake sockeye,1996,0
Year2,Tahlo/Morrison,Lake sockeye,1997,0
Year2,Tahlo/Morrison,Lake sockeye,1998,0
Year2,Tahlo/Morrison,Lake sockeye,1999,0
Year2,Tahlo/Morrison,Lake sockeye,2000,0
Year2,Tahlo/Morrison,Lake sockeye,2001,0
Year2,Tahlo/Morrison,Lake sockeye,2002,0
Year2,Tahlo/Morrison,Lake sockeye,2003,0
Year2,Tahlo/Morrison,Lake sockeye,2004,0
Year2,Tahlo/Morrison,Lake sockeye,2005,0
Year2,Tahlo/Morrison,Lake sockeye,2006,0
Year2,Tahlo/Morrison,Lake sockeye,2008,0
Year2,Tahlo/Morrison,Lake sockeye,2009,0
Year2,Tahlo/Morrison,Lake sockeye,2010,0
Year3,Kalum-Early,Chinook,1992,0
Year3,Kalum-Early,Chinook,1993,0
Year3,Kalum-Early,Chinook,1994,0
Year3,Kalum-Early,Chinook,1995,0
Year3,Kalum-Early,Chinook,1996,0
Year3,Kalum-Early,Chinook,1997,0
Year3,Kalum-Late,Chinook,1989,2
Year3,Kalum-Late,Chinook,1990,10
Year3,Kalum-Late,Chinook,1991,1
Year3,Kalum-Late,Chinook,1992,0
Year3,Kalum-Late,Chinook,1993,1
Year3,Kalum-Late,Chinook,1994,0
Year3,Kalum-Late,Chinook,1995,0
Year3,Kalum-Late,Chinook,1996,0
Year3,Kalum-Late,Chinook,1997,3
Year3,Kalum-Late,Chinook,1998,27
Year3,Kalum-Late,Chinook,1999,8
Year3,Kalum-Late,Chinook,2000,7
Year3,Kalum-Late,Chinook,2001,14
Year3,Kalum-Late,Chinook,2002,6
Year3,Kalum-Late,Chinook,2003,9
Year3,Kalum-Late,Chinook,2004,13
Year3,Kalum-Late,Chinook,2005,25
Year3,Kalum-Late,Chinook,2006,10
Year3,Kalum-Late,Chinook,2007,23
Year3,Kalum-Late,Chinook,2008,11
Year3,Kalum-Late,Chinook,2009,16
Year3,Kalum-Late,Chinook,2010,33
Year3,Lower Skeena,Chinook,2008,1
Year3,Middle Skeena-Large Lakes,Chinook,1990,12
Year3,Middle Skeena-Large Lakes,Chinook,1991,0
Year3,Middle Skeena-Large Lakes,Chinook,1992,0
Year3,Middle Skeena-Large Lakes,Chinook,1993,0
Year3,Middle Skeena-Large Lakes,Chinook,1994,15
Year3,Middle Skeena-Large Lakes,Chinook,1995,1
Year3,Middle Skeena-Large Lakes,Chinook,1996,36
Year3,Middle Skeena-Large Lakes,Chinook,1997,12
Year3,Middle Skeena-Large Lakes,Chinook,1998,10
Year3,Middle Skeena-Large Lakes,Chinook,1999,35
Year3,Middle Skeena-Large Lakes,Chinook,2000,5
Year3,Middle Skeena-Large Lakes,Chinook,2001,3
Year3,Middle Skeena-Large Lakes,Chinook,2003,11
Year3,Middle Skeena-Large Lakes,Chinook,2004,3
Year3,Middle Skeena-Large Lakes,Chinook,2005,0
Year3,Middle Skeena-Large Lakes,Chinook,2006,0
Year3,Middle Skeena-Large Lakes,Chinook,2008,2
Year3,Middle Skeena-Large Lakes,Chinook,2010,0
Year3,Middle Skeena-Mainstem Tributaries,Chinook,1989,1
Year3,Middle Skeena-Mainstem Tributaries,Chinook,1990,0
Year3,Middle Skeena-Mainstem Tributaries,Chinook,1991,0
Year3,Middle Skeena-Mainstem Tributaries,Chinook,1996,2
Year3,Middle Skeena-Mainstem Tributaries,Chinook,2005,0
Year3,Middle Skeena-Mainstem Tributaries,Chinook,2006,0
Year3,Middle Skeena-Mainstem Tributaries,Chinook,2009,3
Year3,Middle Skeena-Mainstem Tributaries,Chinook,2010,1
Year3,Upper Bulkley River,Chinook,1989,0
Year3,Upper Bulkley River,Chinook,1990,0
Year3,Upper Bulkley River,Chinook,1991,2
Year3,Upper Bulkley River,Chinook,1992,1
Year3,Upper Bulkley River,Chinook,1993,2
Year3,Upper Bulkley River,Chinook,1994,0
Year3,Upper Bulkley River,Chinook,1995,1
Year3,Upper Bulkley River,Chinook,1996,0
Year3,Upper Bulkley River,Chinook,1998,4
Year3,Upper Bulkley River,Chinook,1999,0
Year3,Upper Bulkley River,Chinook,2000,1
Year3,Upper Bulkley River,Chinook,2002,0
Year3,Upper Bulkley River,Chinook,2006,0
Year3,Upper Skeena,Chinook,1997,0
Year3,Upper Skeena,Chinook,1998,0
Year3,Upper Skeena,Chinook,1999,1
Year3,Upper Skeena,Chinook,2003,0
Year3,Upper Skeena,Chinook,2007,0
Year3,Upper Skeena,Chinook,2008,0
Year3,Upper Skeena,Chinook,2009,0
Year3,Upper Skeena,Chinook,2010,0
