region,species_name,species_qualified,cuid,cu_name_pse,pointid,streamid,POP_ID,GFE_ID,stream_name_pse,indicator,latitude,longitude,year,stream_observed_count,stream_survey_method,stream_survey_quality,source_id
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1969,1500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1970,800,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1971,500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1972,1000,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1973,900,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1974,1000,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1975,1500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1976,700,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1977,800,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1978,600,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1979,400,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1980,600,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1981,750,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1982,1400,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1983,600,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1984,300,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1985,1500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1986,500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1987,2000,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1988,2200,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1989,2800,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1990,2000,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1991,1900,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1992,2000,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1993,1000,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1994,2000,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1995,1500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1996,3000,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1997,2500,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1998,3000,Other Estimate Method,Medium,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,1999,3200,Other Estimate Method,Medium,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2000,3600,Other Estimate Method,Medium,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2001,NA,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2002,3500,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2003,4000,Other Estimate Method,Medium,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2004,NA,Fence Count,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2005,5000,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2006,5000,Fence Count,Medium,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2007,NA,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2008,NA,Other Estimate Method,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2009,NA,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2010,NA,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2011,NA,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2012,NA,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2013,NA,Unknown Estimate Method,Unknown,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2014,NA,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2015,NA,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2016,NA,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2017,NA,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2018,NA,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2019,NA,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2020,NA,Expert Opinion,Low,NuSEDS_20251103
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2021,1000,sonar-aris,Medium-High,Spoljaric_20260409
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2022,3150,sonar-aris,Medium-High,Spoljaric_20260409
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2023,1700,sonar-aris,Medium-High,Spoljaric_20260409
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2024,1500,sonar-aris,Medium-High,Spoljaric_20260409
Haida Gwaii,Chinook,CK,805,North Haida Gwaii,633,1493,41024,1571,YAKOUN RIVER,N,53.65705152,-132.2059688,2025,2350,sonar-aris,Medium-High,Spoljaric_20260409
