,region,species_qualified,streamid,stream_name_pse,indicator_nuseds,SYS_NM,Indicator_LGL
95,Central Coast,CO,2113,AIRPORT SIDE CHANNEL,N,AIRPORT SIDE CHANNEL,Y
96,Central Coast,CO,2121,FISH CREEK,N,FISH CREEK,Y
97,Central Coast,CO,2114,GARBAGE DUMP CREEK,N,GARBAGE DUMP CREEK,Y
98,Central Coast,CO,2115,GEORGE HALL CREEK,N,GEORGE HALL CREEK,Y
99,Central Coast,CO,2122,MOLLY CREEK,N,MOLLY CREEK,Y
100,Central Coast,CO,3610,NECLEETSCONNAY RIVER,N,NECLEETSCONNAY RIVER,Y
101,Central Coast,CO,2120,NOOKLIKONNIK CREEK,N,NOOKLIKONNIK CREEK,Y
102,Central Coast,CO,2128,SALLOOMT RIVER,N,SALLOOMT RIVER,Y
103,Central Coast,CO,2118,SNOOKA CREEK,N,SNOOKA CREEK,Y
104,Central Coast,CO,2117,THORSEN CREEK,N,THORSEN CREEK,Y
105,Central Coast,CO,3683,ANDERSON CREEK,N,ANDERSON CREEK,Y
106,Central Coast,CO,3689,FOCH RIVER,N,FOCH RIVER,Y
107,Central Coast,CO,2684,ARNOUP CREEK,Y,ARNOUP CREEK,N
108,Central Coast,CO,2772,BANKS LAKES CREEK,N,BANKS LAKES CREEK,Y
109,Central Coast,CO,2784,BILLY CREEK,N,BILLY CREEK,Y
110,Central Coast,CO,2761,CAPTAIN COVE CREEK,N,CAPTAIN COVE CREEK,Y
111,Central Coast,CO,2755,CURTIS INLET CREEK,N,CURTIS INLET CREEK,Y
112,Central Coast,CO,2768,DEER LAKE CREEK,N,DEER LAKE CREEK,Y
113,Central Coast,CO,2754,DEVON LAKE CREEK,N,DEVON LAKE CREEK,Y
114,Central Coast,CO,2705,EAST ARM CREEK,N,EAST ARM CREEK,Y
115,Central Coast,CO,2763,END HILL CREEK,N,END HILL CREEK,Y
116,Central Coast,CO,2788,FOOTE CREEK,N,FOOTE CREEK,Y
117,Central Coast,CO,2780,HANKIN CREEK,N,HANKIN CREEK,Y
118,Central Coast,CO,2759,HEVENOR INLET CREEK,N,HEVENOR INLET CREEK,Y
119,Central Coast,CO,2771,INDIAN HARBOUR CREEK,N,INDIAN HARBOUR CREEK,Y
120,Central Coast,CO,2767,KEECHA CREEK,N,KEECHA CREEK,Y
121,Central Coast,CO,2779,KESWAR CREEK,N,KESWAR CREEK,Y
122,Central Coast,CO,2773,KINGKOWN INLET CREEKS,N,BONILLA LAKE CREEK,Y
123,Central Coast,CO,2766,KOORYET CREEK,N,KOORYET CREEK,Y
124,Central Coast,CO,3698,KUMOWDAH RIVER,N,KUMOWDAH RIVER,Y
125,Central Coast,CO,2770,LEWIS CREEK,N,LEWIS CREEK,Y
126,Central Coast,CO,2753,MIKADO LAKE CREEK,N,MIKADO LAKE CREEK,Y
127,Central Coast,CO,3633,NEEKAS CREEK,Y,NEEKAS CREEK,N
128,Central Coast,CO,2686,NIAS CREEK,Y,NIAS CREEK,N
129,Central Coast,CO,2744,PA-AAT RIVER,N,PA-AAT RIVER,Y
130,Central Coast,CO,2790,PHOENIX CREEK,N,PHOENIX CREEK,Y
131,Central Coast,CO,2789,PORCHER CREEK,N,PORCHER CREEK,Y
132,Central Coast,CO,2751,PORT STEPHENS CREEK,N,PORT STEPHENS CREEK,Y
133,Central Coast,CO,2778,RYAN CREEK,N,RYAN CREEK,Y
134,Central Coast,CO,2777,SHAW CREEK,N,SHAW CREEK,Y
135,Central Coast,CO,2679,SNASS CREEK,N,SNASS CREEK,Y
136,Central Coast,CO,2827,SYLVIA CREEK,N,SYLVIA CREEK,Y
137,Central Coast,CO,2746,TSIMTACK LAKE CREEK,N,TSIMTACK LAKE CREEK,Y
138,Central Coast,CO,3446,DALA RIVER,N,DALA RIVER,Y
139,Central Coast,CO,3621,FRENCHMAN CREEK,Y,FRENCHMAN CREEK,N
140,Central Coast,CO,3445,KILDALA RIVER,N,KILDALA RIVER,Y
141,Central Coast,CO,3440,PIKE CREEK,Y,PIKE CREEK,N
142,Central Coast,CO,2706,WHALEN CREEK,N,WHALEN CREEK,Y
143,Central Coast,CO,3349,CANOE CREEK,N,CANOE CREEK,Y
144,Haida Gwaii,CO,2531,CRESCENT INLET CREEK,N,CRESCENT INLET CREEK,Y
145,Haida Gwaii,CO,2517,LAGOON CREEK,N,LAGOON CREEK,Y
146,Haida Gwaii,CO,2297,DATLAMEN CREEK,Y,DATLAMEN CREEK,N
147,Haida Gwaii,CO,2574,BOTANY INLET CREEK-HEAD,N,BOTANY INLET CREEK-HEAD,Y
148,Haida Gwaii,CO,2573,BOTANY INLET CREEK-OUTER,N,BOTANY INLET CREEK-OUTER,Y
149,Haida Gwaii,CO,2477,DAWSON HARBOUR CREEK,N,DAWSON HARBOUR CREEK,Y
150,Haida Gwaii,CO,2385,RILEY CREEK,Y,RILEY CREEK,N
151,Nass,CO,2623,LACHMACH RIVER,Y,LACHMACH RIVER,N
152,Skeena,CO,3082,ANDALAS CREEK,N,ANDALAS CREEK,Y
153,Skeena,CO,3102,CLEAR CREEK,N,CLEAR CREEK,Y
154,Skeena,CO,3095,DEEP CREEK,N,DEEP CREEK,Y
155,Skeena,CO,3222,ERLANDSEN CREEK,N,ERLANDSEN CREEK,Y
156,Skeena,CO,3211,GITNADOIX RIVER,N,GITNADOIX RIVER,Y
157,Skeena,CO,3099,GOAT CREEK,N,GOAT CREEK,Y
158,Skeena,CO,3081,HERMAN CREEK,N,HERMAN CREEK,Y
159,Skeena,CO,3096,LEAN-TO CREEK,Y,LEAN-TO CREEK,N
160,Skeena,CO,2832,SALMON RUN CREEK,N,SALMON RUN CREEK,Y
161,Skeena,CO,3091,SOCKEYE CREEK,Y,SOCKEYE CREEK,N
162,Skeena,CO,3216,SOUTHEND CREEK,Y,SOUTHEND CREEK,N
163,Skeena,CO,3312,BABINE RIVER - SECTION 4,Y,BABINE RIVER-SECTION 4,N
164,Skeena,CO,3286,BUCK CREEK,N,BUCK CREEK,Y
165,Skeena,CO,3277,CANYON CREEK,N,CANYON CREEK,Y
166,Skeena,CO,3308,CLUB CREEK - LOWER (BETWEEN CLUB LAKE AND STEPHENS LAKE),N,CLUB CREEK-LOWER [BETWEEN CLUB LAKE AND STEPHENS LAKE],Y
167,Skeena,CO,3294,CULLON CREEK,N,CULLON CREEK,Y
168,Skeena,CO,2140,FULTON RIVER,Y,FULTON RIVER,N
169,Skeena,CO,3284,GOSNELL CREEK,N,GOSNELL CREEK,Y
170,Skeena,CO,3280,MORICE RIVER,N,MORICE RIVER,Y
171,Skeena,CO,3303,NANGEESE RIVER,N,NANGEESE RIVER,Y
172,Skeena,CO,2141,PINKUT CREEK,Y,PINKUT CREEK,N
173,Skeena,CO,3298,SKUNSNAT CREEK,N,SKUNSNAT CREEK,Y
174,Skeena,CO,3112,STATION CREEK,N,STATION CREEK,Y
175,Skeena,CO,2135,STEEP CANYON CREEK,N,STEEP CANYON CREEK,Y
176,Skeena,CO,3307,Stephens Creek,N,STEPHENS CREEK,Y
177,Skeena,CO,3279,TELKWA RIVER,N,TELKWA RIVER,Y
178,Skeena,CO,2614,PRUDHOMME CREEK,N,PRUDHOMME CREEK,Y
179,Skeena,CO,3156,ASITKA RIVER,N,ASITKA RIVER,Y
180,Skeena,CO,3075,MOTASE LAKE,N,MOTASE LAKE,Y
181,Central Coast,PKE,4680,BULLOCK CHANNEL CREEKS,Y,BULLOCK CHANNEL CREEKS,N
182,Central Coast,PKE,4166,COOPER INLET-FANNIE COVE CREEKS,Y,COOPER INLET-FANNIE COVE CREEKS,N
183,Central Coast,PKE,4237,EAGLE CREEK,Y,EAGLE CREEK,N
184,Central Coast,PKE,4233,FLUX CREEK,Y,FLUX CREEK,N
185,Central Coast,PKE,4230,KDELMASHAN CREEK,Y,KDELMASHAN CREEK,N
186,Central Coast,PKE,4260,LAGOON CREEK,Y,LAGOON CREEK,N
187,Central Coast,PKE,4098,MCLOUGHLIN CREEK,Y,MCLOUGHLIN CREEK,N
188,Central Coast,PKE,4670,CASCADE RIVER,N,CASCADE RIVER,Y
189,Central Coast,PKE,4191,FIFER COVE CREEK,N,FIFER COVE CREEK,Y
190,Central Coast,PKE,4664,KIMSQUIT RIVER,Y,KIMSQUIT RIVER,N
191,Central Coast,PKE,4541,KITIMAT RIVER,Y,KITIMAT RIVER,N
192,Central Coast,PKE,4518,KLEKANE RIVER,N,KLEKANE RIVER,Y
193,Central Coast,PKE,4516,MARMOT COVE CREEK,N,MARMOT COVE CREEK,Y
194,Central Coast,PKE,4673,MARTIN RIVER,Y,MARTIN RIVER,N
195,Central Coast,PKE,4661,NOOSESECK RIVER,N,NOOSESECK RIVER,Y
196,Central Coast,PKE,4649,QUATLENA RIVER,N,QUATLENA RIVER,Y
197,Haida Gwaii,PKE,4029,CHADSEY CREEK,N,CHADSEY CREEK,Y
198,Haida Gwaii,PKE,3944,HAANS CREEK,Y,HAANS CREEK,N
199,Haida Gwaii,PKE,4025,SANDY CREEK,Y,SANDY CREEK,N
200,Haida Gwaii,PKE,3951,THURSTON HARBOUR CREEK,Y,THURSTON HARBOUR CREEK,N
201,Haida Gwaii,PKE,3863,AIN RIVER,N,AIN RIVER,Y
202,Haida Gwaii,PKE,3858,STANLEY CREEK,Y,STANLEY CREEK,N
203,Haida Gwaii,PKE,3853,CELESTIAL RIVER,Y,CELESTIAL RIVER,N
204,Haida Gwaii,PKE,3991,DAWSON INLET CREEK,Y,DAWSON INLET CREEK,N
205,Haida Gwaii,PKE,4083,FLAT CREEK,Y,FLAT CREEK,N
206,Haida Gwaii,PKE,4002,INSKIP CREEK,Y,INSKIP CREEK,N
207,Haida Gwaii,PKE,3988,NORTH ARM HEAD CREEK,Y,NORTH ARM HEAD CREEK,N
208,Skeena,PKE,4470,KISPIOX RIVER,Y,KISPIOX RIVER,N
209,Skeena,PKE,4437,ANDESITE CREEK,Y,ANDESITE CREEK,N
210,Skeena,PKE,4154,BELLE BAY CREEK,Y,BELLE BAY CREEK,N
211,Skeena,PKE,4300,CHISMORE CREEK,Y,CHISMORE CREEK,N
212,Skeena,PKE,3789,DOG TAG CREEK,Y,DOG TAG CREEK,N
213,Skeena,PKE,4299,HUMPBACK CREEK,Y,HUMPBACK CREEK,N
214,Skeena,PKE,4730,MOORE COVE CREEK,Y,MOORE COVE CREEK,N
215,Central Coast,PKO,5080,FIFER COVE CREEK,N,FIFER COVE CREEK,Y
216,Central Coast,PKO,5664,KIMSQUIT RIVER,Y,KIMSQUIT RIVER,N
217,Central Coast,PKO,5543,KITIMAT RIVER,Y,KITIMAT RIVER,N
218,Central Coast,PKO,5522,KLEKANE RIVER,N,KLEKANE RIVER,Y
219,Central Coast,PKO,5673,MARTIN RIVER,Y,MARTIN RIVER,N
220,Central Coast,PKO,5169,BOLTON CREEK,Y,BOLTON CREEK,N
221,Central Coast,PKO,5681,BULLOCK CHANNEL CREEKS,Y,BULLOCK CHANNEL CREEKS,N
222,Central Coast,PKO,5057,COOPER INLET-FANNIE COVE CREEKS,Y,COOPER INLET-FANNIE COVE CREEKS,N
223,Central Coast,PKO,5123,EAGLE CREEK,Y,EAGLE CREEK,N
224,Central Coast,PKO,5119,FLUX CREEK,Y,FLUX CREEK,N
225,Central Coast,PKO,5724,GABION RIVER,N,GABION RIVER,Y
226,Central Coast,PKO,5183,HANKIN CREEK,Y,HANKIN CREEK,N
227,Central Coast,PKO,5493,JOHNSTON CREEK,Y,JOHNSTON CREEK,N
228,Central Coast,PKO,5110,LIMESTONE CREEK,Y,LIMESTONE CREEK,N
229,Central Coast,PKO,5639,CLYAK RIVER,Y,CLYAK RIVER,N
230,Central Coast,PKO,5490,DRANEY CREEK,Y,DRANEY CREEK,N
231,Central Coast,PKO,5491,LOCKHART GORDON CREEK,Y,LOCKHART GORDON CREEK,N
232,Central Coast,PKO,5661,NOOSESECK RIVER,N,NOOSESECK RIVER,Y
233,Haida Gwaii,PKO,4970,BIG GOOSE CREEK,Y,BIG GOOSE CREEK,N
234,Haida Gwaii,PKO,4907,HAANS CREEK,Y,HAANS CREEK,N
235,Haida Gwaii,PKO,4906,SACHS CREEK,Y,SACHS CREEK,N
236,Haida Gwaii,PKO,4902,BROWNS CABIN CREEK,Y,BROWNS CABIN CREEK,N
237,Haida Gwaii,PKO,4937,SECURITY INLET CREEK-L/H,Y,SECURITY INLET CREEK-L/H,N
238,Nass,PKO,5045,BELLE BAY CREEK,Y,BELLE BAY CREEK,N
239,Nass,PKO,5047,DONAHUE CREEK,Y,DONAHUE CREEK,N
240,Nass,PKO,5361,WELDA CREEK,Y,WELDA CREEK,N
241,Skeena,PKO,4790,DOG TAG CREEK,Y,DOG TAG CREEK,N
242,Skeena,PKO,5405,KHYEX RIVER,Y,KHYEX RIVER,N
243,Skeena,PKO,5457,KISPIOX RIVER,Y,KISPIOX RIVER,N
244,Skeena,PKO,5185,CHISMORE CREEK,Y,CHISMORE CREEK,N
245,Skeena,PKO,5184,HUMPBACK CREEK,Y,HUMPBACK CREEK,N
246,Skeena,PKO,5731,MOORE COVE CREEK,Y,MOORE COVE CREEK,N
247,Central Coast,SEL,6695,QUAAL RIVER,N,QUAAL RIVER,Y
248,Central Coast,SEL,6108,BLOOMFIELD CREEK,N,BLOOMFIELD CREEK,Y
249,Central Coast,SEL,6701,KLEWNUGGIT INLET CREEK,N,KLEWNUGGIT INLET CREEK,Y
250,Central Coast,SEL,6097,KADJUSDIS RIVER,N,KADJUSDIS RIVER,Y
251,Central Coast,SEL,6568,KITLOPE RIVER,N,KITLOPE RIVER,Y
252,Central Coast,SEL,6168,KOORYET CREEK,N,KOORYET CREEK,Y
253,Central Coast,SEL,6700,KUMOWDAH RIVER,N,KUMOWDAH RIVER,Y
254,Central Coast,SEL,6045,MARY COVE CREEK,N,MARY COVE CREEK,Y
255,Central Coast,SEL,6159,MIKADO LAKE CREEK,N,MIKADO LAKE CREEK,Y
256,Central Coast,SEL,6622,OWIKENO LAKE,Y,OWIKENO LAKE,N
257,Central Coast,SEL,6075,KWAKUSDIS RIVER,N,KWAKUSDIS RIVER,Y
258,Haida Gwaii,SEL,6022,MATHERS CREEK,N,MATHERS CREEK,Y
259,Haida Gwaii,SEL,5951,MERCER CREEK,N,MERCER CREEK,Y
260,Nass,SEL,6488,DAMDOCHAX CREEK,N,DAMDOCHAX CREEK,Y
261,Nass,SEL,6482,KWINAGEESE RIVER,N,KWINAGEESE RIVER,Y
262,Skeena,SEL,6469,ASITKA RIVER,N,ASITKA RIVER,Y
263,Skeena,SEL,6502,Cross Creek,Y,CROSS CREEK,N
264,Skeena,SEL,6466,BEAR LAKE,N,BEAR LAKE,Y
265,Skeena,SEL,6492,JOHNSTON LAKE,N,JOHNSTON LAKE,Y
266,Skeena,SEL,6446,DRY CREEK,N,DOUGLAS CREEK,Y
267,Skeena,SEL,6525,BABINE RIVER - SECTION 4,Y,BABINE RIVER-SECTION 4,N
268,Skeena,SEL,6078,PRUDHOMME CREEK,N,PRUDHOMME CREEK,Y
269,Skeena,SEL,6535,TAHLO CREEK - LOWER,N,TAHLO CREEK-LOWER,Y
270,Skeena,SEL,6534,TAHLO CREEK - UPPER,Y,TAHLO CREEK-UPPER,N
271,Central Coast,SER,6615,GREEN RIVER,N,GREEN RIVER,Y
272,Central Coast,SER,6616,KHUTZE RIVER,N,KHUTZE RIVER,Y
273,Central Coast,SER,6657,QUARTCHA CREEK,N,QUARTCHA CREEK,Y
274,Nass,SER,6481,BROWN BEAR CREEK,N,BROWN BEAR CREEK,Y
