Area,System,Species,Survey_type,Conducted_by,Week_of_last_survey,Num_surveys,Count,Avg_Raw_Peak,Avg_Esc_Est
23,LITTLE TOQUAHT CREEK,Coho,Periodic/PL+D,TCES,Oct 19-25,1,57,10,20
23,TWIN RIVERS EAST CREEK,Coho,Periodic/PL+D,TCES,Oct 5-11,1,110,20,40
23,CLEMENS CREEK,Coho,Periodic/PL+D,Redd,Oct 12-18,7,644,600,"1,460"
23,EFFINGHAM RIVER,Coho,Periodic/PL+D,TCES,Oct 5-11,1,326,200,270
23,THORNTON CREEK,Coho,Periodic/PL+D,TCES,Oct 5-11,3,0,0,390
23,NAHMINT RIVER,Coho,Periodic/PL+D,Redd,Oct 12-18,5,94,140,360
24,BEDWELL RIVER,Coho,Periodic/PL+D,TSES,Oct 5-11,3,805,770,"1,300"
24,MEGIN RIVER,Coho,Periodic/PL+D,TSES,Oct 12-18,2,768,890,"1,140"
24,MOYEHA RIVER,Coho,Periodic/PL+D,TSES/NTC/Ha'oom,Oct 5-11,3,1034,670,"1,240"
24,CYPRE RIVER,Coho,Periodic/PL+D,TSES,Sep 21-27,2,363,620,970
24,SYDNEY RIVER,Coho,Periodic/PL+D,Redd,Sept 14-20,1,0,100,400
24,WARN BAY CREEK,Coho,Periodic/PL+D,TSES,Oct 5-11,1,42,30,50
24,TRANQUIL CREEK,Coho,Periodic/PL+D,TSES,Oct 5-11,3,250,390,780
24,KENNEDY RIVER (UPPER),Coho,Periodic/PL+D,Ha'oom,Oct 5-11,3,1190,790,970
25,CHUM CREEK,Coho,Periodic/PL+D,NFN/NTC,Oct 5-11,2,7,20,30
25,LITTLE ZEBALLOS RIVER,Coho,Periodic/PL+D,EFN/Wildcoast/NTC,Oct 5-11,1,147,150,270
25,ZEBALLOS RIVER,Coho,Periodic/PL+D,EFN/Wildcoast/NTC,Oct 5-11,2,252,200,350
25,ESPINOSA CREEK,Coho,Periodic/PL+D,NFN/NTC,Oct 5-11,6,7,50,70
25,ESCALANTE RIVER,Coho,Periodic/PL+D,Redd,Oct 12-18,1,166,150,-
25,BURMAN RIVER,Coho,Periodic/PL+D,MMFN/NTC,Oct 12-18,5,710,280,730
25,CONUMA RIVER,Coho,Periodic/PL+D,Ecofish/Conuma,Oct 12-18,4,1991,"2,040","2,800"
25,LEINER RIVER,Coho,Periodic/PL+D,Ecofish,Oct 12-18,4,556,420,860
25,TAHSIS RIVER,Coho,Periodic/PL+D,Ecofish,Oct 12-18,4,795,710,"1,200"
25,GOLD RIVER,Coho,Periodic/PL+D,MMFN/Ecofish/NTC,Oct 12-18,4,2036,"1,370","2,600"
26,ARTLISH RIVER,Coho,Periodic/PL+D,KCFN,Oct 12-18,4,1170,"1,070","1,770"
26,KAOUK RIVER,Coho,Periodic/PL+D,KCFN,Oct 5-11,3,2024,"1,420","2,680"
26,MALKSOPE RIVER,Coho,Periodic/PL+D,KCFN,Sep 21-27,1,566,710,"1,730"
26,TAHSISH RIVER,Coho,Periodic/PL+D,StAD/KCFN,Oct 12-18,6,3705,"1,860","3,170"
27,CAYEGHLE SYSTEM,Coho,Periodic/PL+D,Wildcoast/Quatsino,Sept 14-20,2,682,650,"1,010"
27,MARBLE RIVER,Coho,Periodic/PL+D,Wildcoast/Quatsino,Sep 21-27,3,427,520,"1,050"
20,HARRIS CREEK,Chum,Periodic/PL+D,PFN,Oct 5-11,1,0,10,10
20,RENFREW CREEK,Chum,Periodic/PL+D,PFN,Oct 12-18,1,4,110,190
20,SAN JUAN RIVER,Chum,Mixed/PL+D,PFN/4Mile Crk,Oct 12-18,2,13,220,280
20,GORDON RIVER,Chum,Periodic/PL+D,PFN,Oct 5-11,1,88,200,130
21,KLANAWA RIVER,Chum,Periodic/PL+D,HFN,Sept 14-20,1,0,0,0
22,NITINAT RIVER,Chum,Periodic/PL+D,"BCCF/StAD/DFN/
Nitinat",Oct 19-25,6,21750,"42,920","121,970"
23,SUGSAW CREEK,Chum,Periodic/PL+D,HFN,Oct 19-25,3,0,710,620
23,FREDERICK CREEK,Chum,Periodic/PL+D,HFN,Oct 5-11,2,10,30,10
23,CARNATION CREEK,Chum,Periodic/PL+D,BC,Oct 19-25,-,2,-,20
23,SARITA RIVER,Chum,Periodic/PL+D,HFN,Oct 12-18,6,4972,"3,640","7,040"
23,PACHENA RIVER,Chum,Periodic/PL+D,HFN,Oct 12-18,2,0,10,30
23,ROUSSEAU CREEK,Chum,Periodic/PL+D,HFN,Sep 21-27,2,0,30,-
23,TOQUAHT RIVER,Chum,Periodic/PL+D,TCES,Oct 5-11,2,3493,"4,810","3,180"
23,LITTLE TOQUAHT CREEK,Chum,Periodic/PL+D,TCES,Oct 19-25,1,2400,"4,660","2,890"
23,TWIN RIVERS EAST CREEK,Chum,Periodic/PL+D,TCES,Oct 5-11,1,61,350,310
23,CLEMENS CREEK,Chum,Periodic/PL+D,Redd,Oct 12-18,7,73,110,100
23,EFFINGHAM RIVER,Chum,Periodic/PL+D,TCES,Oct 5-11,1,984,"1,940","1,220"
23,THORNTON CREEK,Chum,Periodic/PL+D,TCES,Oct 5-11,3,5,30,30
23,NAHMINT RIVER,Chum,Periodic/PL+D,Redd,Oct 12-18,5,8118,"4,800","7,330"
24,BEDWELL RIVER,Chum,Periodic/PL+D,TSES,Oct 5-11,3,1075,"1,710","2,790"
24,MEGIN RIVER,Chum,Periodic/PL+D,TSES,Oct 12-18,2,303,140,460
24,MOYEHA RIVER,Chum,Periodic/PL+D,TSES/NTC/Ha'oom,Oct 5-11,3,1932,"1,420","1,810"
24,CYPRE RIVER,Chum,Periodic/PL+D,TSES,Sep 21-27,2,65,"1,030","1,290"
24,SYDNEY RIVER,Chum,Periodic/PL+D,Redd,Sept 14-20,1,32,360,60
24,WARN BAY CREEK,Chum,Periodic/PL+D,TSES,Oct 5-11,1,174,770,"1,000"
24,TRANQUIL CREEK,Chum,Periodic/PL+D,TSES,Oct 5-11,3,3379,"3,290","6,150"
24,KENNEDY RIVER (UPPER),Chum,Periodic/PL+D,Ha'oom,Oct 5-11,3,34,0,-
25,CHUM CREEK,Chum,Periodic/PL+D,NFN/NTC,Oct 5-11,2,42,550,"1,350"
25,LITTLE ZEBALLOS RIVER,Chum,Periodic/PL+D,EFN/Wildcoast/NTC,Oct 5-11,1,1468,790,"1,800"
25,ZEBALLOS RIVER,Chum,Periodic/PL+D,EFN/Wildcoast/NTC,Oct 5-11,2,1822,"2,710","5,860"
25,ESPINOSA CREEK,Chum,Periodic/PL+D,NFN/NTC,Oct 5-11,6,239,"1,420","1,330"
25,ESCALANTE RIVER,Chum,Periodic/PL+D,Redd,Oct 12-18,1,121,70,-
25,BURMAN RIVER,Chum,Periodic/PL+D,MMFN/NTC,Oct 12-18,5,1625,730,"3,840"
25,CONUMA RIVER,Chum,Periodic/PL+D,Ecofish/Conuma,Oct 12-18,4,4289,"7,110","10,380"
25,LEINER RIVER,Chum,Periodic/PL+D,Ecofish,Oct 12-18,4,702,720,"2,380"
25,TAHSIS RIVER,Chum,Periodic/PL+D,Ecofish,Oct 12-18,4,423,760,"3,460"
25,GOLD RIVER,Chum,Periodic/PL+D,MMFN/Ecofish/NTC,Oct 12-18,4,225,30,-
26,ARTLISH RIVER,Chum,Periodic/PL+D,KCFN,Oct 12-18,4,1150,"1,880","4,220"
26,KAOUK RIVER,Chum,Periodic/PL+D,KCFN,Oct 5-11,3,1604,"1,950","4,980"
26,MALKSOPE RIVER,Chum,Periodic/PL+D,KCFN,Sep 21-27,1,629,"1,600","4,960"
26,TAHSISH RIVER,Chum,Periodic/PL+D,StAD/KCFN,Oct 12-18,6,2184,"2,860","4,380"
27,CAYEGHLE SYSTEM,Chum,Periodic/PL+D,Wildcoast/Quatsino,Sept 14-20,2,218,"2,710","7,330"
20,SAN JUAN RIVER,Pink,Mixed/PL+D,PFN/4Mile Crk,Oct 12-18,2,2,0,40
20,GORDON RIVER,Pink,Periodic/PL+D,PFN,Oct 5-11,1,0,0,0
21,KLANAWA RIVER,Pink,Periodic/PL+D,HFN,Sept 14-20,1,0,20,-
22,NITINAT RIVER,Pink,Periodic/PL+D,BCCF/StAD/DFN/Nitinat,Oct 12-18,5,4,0,20
23,SOMASS SYSTEM,Pink,Fence/Cumulative,Hup/StAD,Oct 19-25,-,6,N/A,N/A
23,SARITA RIVER,Pink,Periodic/PL+D,HFN,Oct 12-18,6,0,0,10
23,PACHENA RIVER,Pink,Periodic/PL+D,HFN,Oct 12-18,2,0,-,-
23,TOQUAHT RIVER,Pink,Periodic/PL+D,TCES,Oct 5-11,2,0,0,30
23,CLEMENS CREEK,Pink,Periodic/PL+D,Redd,Oct 12-18,7,3,0,-
23,THORNTON CREEK,Pink,Periodic/PL+D,TCES,Oct 5-11,3,0,0,-
23,NAHMINT RIVER,Pink,Periodic/PL+D,Redd,Oct 12-18,5,0,0,10
24,BEDWELL RIVER,Pink,Periodic/PL+D,TSES,Oct 5-11,3,13,5,40
24,MEGIN RIVER,Pink,Periodic/PL+D,TSES,Oct 12-18,2,3,0,20
24,MOYEHA RIVER,Pink,Periodic/PL+D,TSES/NTC/Ha'oom,Oct 5-11,3,3,10,10
24,CYPRE RIVER,Pink,Periodic/PL+D,TSES,Sep 21-27,2,5,0,10
24,SYDNEY RIVER,Pink,Periodic/PL+D,Redd,Sept 14-20,1,2,0,-
24,TRANQUIL CREEK,Pink,Periodic/PL+D,TSES,Oct 5-11,3,3,1,-
24,KENNEDY RIVER (UPPER),Pink,Periodic/PL+D,Ha'oom,Oct 5-11,3,1,0,-
25,ZEBALLOS RIVER,Pink,Periodic/PL+D,EFN/Wildcoast/NTC,Oct 5-11,2,5,0,60
25,ESPINOSA CREEK,Pink,Periodic/PL+D,NFN/NTC,Oct 5-11,6,16,0,10
25,ESCALANTE RIVER,Pink,Periodic/PL+D,Redd,Oct 12-18,1,0,0,-
25,BURMAN RIVER,Pink,Periodic/PL+D,MMFN/NTC,Oct 12-18,5,42,0,20
25,CONUMA RIVER,Pink,Periodic/PL+D,Ecofish/Conuma,Oct 12-18,4,4,0,0
25,LEINER RIVER,Pink,Periodic/PL+D,Ecofish,Oct 12-18,4,5,0,0
25,TAHSIS RIVER,Pink,Periodic/PL+D,Ecofish,Oct 12-18,4,8,0,0
25,GOLD RIVER,Pink,Periodic/PL+D,MMFN/Ecofish/NTC,Oct 12-18,4,22,10,-
26,ARTLISH RIVER,Pink,Periodic/PL+D,KCFN,Oct 12-18,4,0,0,-
26,KAOUK RIVER,Pink,Periodic/PL+D,KCFN,Oct 5-11,3,1,0,10
26,MALKSOPE RIVER,Pink,Periodic/PL+D,KCFN,Sep 21-27,1,0,0,-
26,TAHSISH RIVER,Pink,Periodic/PL+D,StAD/KCFN,Oct 12-18,6,38,0,10
27,CAYEGHLE SYSTEM,Pink,Periodic/PL+D,Wildcoast/Quatsino,Sept 14-20,2,0,0,10
27,MARBLE RIVER,Pink,Periodic/PL+D,Wildcoast/Quatsino,Sep 21-27,3,0,0,10
20,RENFREW CREEK,Sockeye,Periodic/PL+D,PFN,Oct 12-18,1,18,10,20
20,SAN JUAN RIVER,Sockeye,Mixed/PL+D,PFN/4Mile Crk,Oct 12-18,2,46,20,160
20,GORDON RIVER,Sockeye,Periodic/PL+D,PFN,Oct 5-11,1,105,10,10
21,KLANAWA RIVER,Sockeye,Periodic/PL+D,HFN,Sept 14-20,1,0,0,-
22,NITINAT RIVER,Sockeye,Periodic/PL+D,BCCF/StAD/DFN/Nitinat,Oct 12-18,5,757,120,380
23,SOMASS SYSTEM,Sockeye,Fence/Cumulative,Hup/StAD,Oct 19-25,-,398978,N/A,N/A
23,SARITA RIVER,Sockeye,Periodic/PL+D,HFN,Oct 12-18,6,37,10,40
23,TOQUAHT RIVER,Sockeye,Periodic/PL+D,TCES,Oct 5-11,2,122,10,60
23,CLEMENS CREEK,Sockeye,Periodic/PL+D,Redd,Oct 12-18,7,12225,"7,170","12,190"
23,EFFINGHAM RIVER,Sockeye,Periodic/PL+D,TCES,Oct 5-11,1,221,10,-
23,THORNTON CREEK,Sockeye,Periodic/PL+D,TCES,Oct 5-11,3,2,-,-
23,NAHMINT RIVER,Sockeye,Periodic/PL+D,Redd,Oct 12-18,5,1694,550,930
24,BEDWELL RIVER,Sockeye,Periodic/PL+D,TSES,Oct 5-11,3,1056,70,320
24,MEGIN RIVER,Sockeye,Periodic/PL+D,TSES,Oct 12-18,2,0,"1,120","1,180"
24,MOYEHA RIVER,Sockeye,Periodic/PL+D,TSES/NTC/Ha'oom,Oct 5-11,3,896,140,180
24,CYPRE RIVER,Sockeye,Periodic/PL+D,TSES,Sep 21-27,2,104,10,40
24,SYDNEY RIVER,Sockeye,Periodic/PL+D,Redd,Sept 14-20,1,10,20,30
24,WARN BAY CREEK,Sockeye,Periodic/PL+D,TSES,Oct 5-11,1,3,0,-
24,TRANQUIL CREEK,Sockeye,Periodic/PL+D,TSES,Oct 5-11,3,369,20,280
24,KENNEDY RIVER (UPPER),Sockeye,Periodic/PL+D,Ha'oom,Oct 5-11,3,11126,"2,070","2,800"
25,CHUM CREEK,Sockeye,Periodic/PL+D,NFN/NTC,Oct 5-11,2,4,0,0
25,LITTLE ZEBALLOS RIVER,Sockeye,Periodic/PL+D,EFN/Wildcoast/NTC,Oct 5-11,1,31,10,40
25,ZEBALLOS RIVER,Sockeye,Periodic/PL+D,EFN/Wildcoast/NTC,Oct 5-11,2,2030,350,940
25,ESPINOSA CREEK,Sockeye,Periodic/PL+D,NFN/NTC,Oct 5-11,6,55,10,20
25,ESCALANTE RIVER,Sockeye,Periodic/PL+D,Redd,Oct 12-18,1,13,10,-
25,BURMAN RIVER,Sockeye,Periodic/PL+D,MMFN/NTC,Oct 12-18,5,1165,200,610
25,CONUMA RIVER,Sockeye,Periodic/PL+D,Ecofish/Conuma,Oct 12-18,4,325,60,90
25,LEINER RIVER,Sockeye,Periodic/PL+D,Ecofish,Oct 12-18,4,500,230,620
25,TAHSIS RIVER,Sockeye,Periodic/PL+D,Ecofish,Oct 12-18,4,219,180,300
25,GOLD RIVER,Sockeye,Periodic/PL+D,MMFN/Ecofish/NTC,Oct 12-18,4,2021,450,-
26,ARTLISH RIVER,Sockeye,Periodic/PL+D,KCFN,Oct 12-18,4,59,0,10
26,KAOUK RIVER,Sockeye,Periodic/PL+D,KCFN,Oct 5-11,3,85,10,40
26,MALKSOPE RIVER,Sockeye,Periodic/PL+D,KCFN,Sep 21-27,1,0,0,10
26,TAHSISH RIVER,Sockeye,Periodic/PL+D,StAD/KCFN,Oct 12-18,6,70,20,60
27,CAYEGHLE SYSTEM,Sockeye,Periodic/PL+D,Wildcoast/Quatsino,Sept 14-20,2,0,0,10
27,MARBLE RIVER,Sockeye,Periodic/PL+D,Wildcoast/Quatsino,Sep 21-27,3,0,0,-
