"","region","species_name","cu_name_pse","stream_name_pse","streamid","indicator","indicator_old"
"99","Skeena","Pink","Nass-Skeena Estuary (even)","Chismore Creek",2455,"Y","N"
"100","Skeena","Pink","Nass-Skeena Estuary (even)","Dog Tag Creek",2467,"Y","N"
"101","Skeena","Pink","Nass-Skeena Estuary (even)","Humpback Creek",2494,"Y","N"
"102","Skeena","Pink","Nass-Skeena Estuary (even)","Moore Cove Creek",2541,"Y","N"
"103","Skeena","Pink","Nass-Skeena Estuary (odd)","Chismore Creek",2607,"Y","N"
"104","Skeena","Pink","Nass-Skeena Estuary (odd)","Humpback Creek",2613,"Y","N"
"105","Skeena","Pink","Nass-Skeena Estuary (odd)","Moore Cove Creek",2621,"Y","N"
"106","Skeena","Sockeye","Asitika","Asitka River",8,"N","Y"
"107","Skeena","Sockeye","Babine/Onerka","Cross Creek",19,"Y","N"
"108","Skeena","Sockeye","Bear","Bear Lake",46,"N","Y"
"109","Skeena","Sockeye","Johnston","Johnston Lake",1733,"N","Y"
"110","Skeena","Sockeye","Nilkitkwa","Babine River-Section 4",12,"Y","N"
"111","Skeena","Sockeye","Tahlo/Morrison","Tahlo Creek-Upper",3351,"Y","N"
"112","Skeena","Sockeye","Tahlo/Morrison","Tahlo Creek-Lower",3350,"N","Y"
"113","Central Coast","Chinook","North & Central Coast-Early","BRIM RIVER",4101,"N","Y"
"114","Central Coast","Chinook","North & Central Coast-Early","KHUTZE RIVER",4112,"N","Y"
"115","Central Coast","Chinook","North & Central Coast-Early","WAHOO CREEK",4100,"N","Y"
"116","Central Coast","Chum","Bella Coola-Dean Rivers","SKOWQUILTZ RIVER",3808,"Y","N"
"117","Central Coast","Chum","Bella Coola-Dean Rivers","GARBAGE DUMP CREEK",3813,"N","Y"
"118","Central Coast","Chum","Bella Coola-Dean Rivers","NOOKLIKONNIK CREEK",3792,"N","Y"
"119","Central Coast","Chum","Bella Coola-Dean Rivers","SALLOOMT RIVER",3794,"N","Y"
"120","Central Coast","Chum","Bella Coola-Dean Rivers","TASTSQUAN CREEK",3795,"N","Y"
"121","Central Coast","Chum","Bella Coola-Dean Rivers","THORSEN CREEK",3791,"N","Y"
"122","Central Coast","Chum","Douglas-Gardner","KITIMAT RIVER",4016,"Y","N"
"123","Central Coast","Chum","Douglas-Gardner","MCKAY CREEK",4032,"Y","N"
"124","Central Coast","Chum","Douglas-Gardner","BIG TILLHORN CREEK",3990,"N","Y"
"125","Central Coast","Chum","Douglas-Gardner","EAGLE BAY CREEK",4010,"N","Y"
"126","Central Coast","Chum","Douglas-Gardner","HEAD CREEK",4029,"N","Y"
"127","Central Coast","Chum","Douglas-Gardner","KITKIATA CREEK",4041,"N","Y"
"128","Central Coast","Chum","Douglas-Gardner","KLEKANE RIVER",3994,"N","Y"
"129","Central Coast","Chum","Douglas-Gardner","LITTLE TILLHORN CREEK",3989,"N","Y"
"130","Central Coast","Chum","Douglas-Gardner","PARIL RIVER",3997,"N","Y"
"131","Central Coast","Chum","Douglas-Gardner","RIORDAN CREEK",3985,"N","Y"
"132","Central Coast","Chum","Douglas-Gardner","VERNEY PASSAGE CREEK",3987,"N","Y"
"133","Central Coast","Chum","Douglas-Gardner","WATHL CREEK",4014,"N","Y"
"134","Central Coast","Chum","Douglas-Gardner","WHALEN CREEK",3983,"N","Y"
"135","Central Coast","Chum","Hecate Lowlands","MEYERS PASS CREEK",3828,"Y","N"
"136","Central Coast","Chum","Hecate Lowlands","SHAW CREEK",3940,"Y","N"
"137","Central Coast","Chum","Hecate Lowlands","GABION RIVER",3959,"N","Y"
"138","Central Coast","Chum","Hecate Lowlands","GORILLA CREEK",3829,"N","Y"
"139","Central Coast","Chum","Hecate Lowlands","STANNARD CREEK",3892,"N","Y"
"140","Central Coast","Chum","Hecate Lowlands","TANKEEAH RIVER",3948,"N","Y"
"141","Central Coast","Chum","Mussel-Kynoch","BIG CREEK",3973,"N","Y"
"142","Central Coast","Chum","Mussel-Kynoch","BOLIN BAY CREEK",3978,"N","Y"
"143","Central Coast","Chum","Rivers Inlet","MILTON RIVER",3716,"N","Y"
"144","Central Coast","Chum","Smith Inlet","NEKITE SPAWNING CHANNEL",3691,"N","Y"
"145","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","BULLOCK CHANNEL EAST CREEK",3724,"Y","N"
"146","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","COOPER INLET-FANNIE COVE CREEKS",3743,"Y","N"
"147","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","MARTIN RIVER",3776,"Y","N"
"148","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","BULLOCK CHANNEL #2 CREEK",3725,"N","Y"
"149","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","BULLOCK CHANNEL #3 NORTH CREEK",3726,"N","Y"
"150","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","BULLOCK CHANNEL #3 SOUTH CREEK",3727,"N","Y"
"151","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","COOPER INLET-ADA COVE CREEK",3721,"N","Y"
"152","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","COOPER INLET-FANNIE COVE LH CREEK",3723,"N","Y"
"153","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","FOUR LAKES CREEK",3749,"N","Y"
"154","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","KADJUSDIS RIVER",3752,"N","Y"
"155","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","LEE CREEK",3782,"N","Y"
"156","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","RAINBOW CREEK",3780,"N","Y"
"157","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","SAGAR CREEK",3746,"N","Y"
"158","Central Coast","Chum","Spiller-Fitz-Hugh-Burke","SCRIBNER CREEK",3755,"N","Y"
"159","Central Coast","Coho","Bella Coola-Dean Rivers","AIRPORT SIDE CHANNEL",4163,"N","Y"
"160","Central Coast","Coho","Bella Coola-Dean Rivers","FISH CREEK",4171,"N","Y"
"161","Central Coast","Coho","Bella Coola-Dean Rivers","GARBAGE DUMP CREEK",4164,"N","Y"
"162","Central Coast","Coho","Bella Coola-Dean Rivers","GEORGE HALL CREEK",4165,"N","Y"
"163","Central Coast","Coho","Bella Coola-Dean Rivers","MOLLY CREEK",4172,"N","Y"
"164","Central Coast","Coho","Bella Coola-Dean Rivers","NOOKLIKONNIK CREEK",4170,"N","Y"
"165","Central Coast","Coho","Bella Coola-Dean Rivers","SALLOOMT RIVER",4178,"N","Y"
"166","Central Coast","Coho","Bella Coola-Dean Rivers","SNOOKA CREEK",4168,"N","Y"
"167","Central Coast","Coho","Bella Coola-Dean Rivers","THORSEN CREEK",4167,"N","Y"
"168","Central Coast","Coho","Douglas Channel-Kitimat Arm","FOCH RIVER",4427,"N","Y"
"169","Central Coast","Coho","Hecate Strait Mainland","ARNOUP CREEK",4270,"Y","N"
"170","Central Coast","Coho","Hecate Strait Mainland","NEEKAS CREEK",4373,"Y","N"
"171","Central Coast","Coho","Hecate Strait Mainland","NIAS CREEK",4272,"Y","N"
"172","Central Coast","Coho","Hecate Strait Mainland","BANKS LAKES CREEK",4345,"N","Y"
"173","Central Coast","Coho","Hecate Strait Mainland","BILLY CREEK",4354,"N","Y"
"174","Central Coast","Coho","Hecate Strait Mainland","CAPTAIN COVE CREEK",4334,"N","Y"
"175","Central Coast","Coho","Hecate Strait Mainland","CURTIS INLET CREEK",4328,"N","Y"
"176","Central Coast","Coho","Hecate Strait Mainland","DEER LAKE CREEK",4341,"N","Y"
"177","Central Coast","Coho","Hecate Strait Mainland","DEVON LAKE CREEK",4327,"N","Y"
"178","Central Coast","Coho","Hecate Strait Mainland","EAST ARM CREEK",4291,"N","Y"
"179","Central Coast","Coho","Hecate Strait Mainland","END HILL CREEK",4336,"N","Y"
"180","Central Coast","Coho","Hecate Strait Mainland","HANKIN CREEK",4353,"N","Y"
"181","Central Coast","Coho","Hecate Strait Mainland","HEVENOR INLET CREEK",4332,"N","Y"
"182","Central Coast","Coho","Hecate Strait Mainland","INDIAN HARBOUR CREEK",4344,"N","Y"
"183","Central Coast","Coho","Hecate Strait Mainland","KEECHA CREEK",4340,"N","Y"
"184","Central Coast","Coho","Hecate Strait Mainland","KESWAR CREEK",4352,"N","Y"
"185","Central Coast","Coho","Hecate Strait Mainland","KOORYET CREEK",4339,"N","Y"
"186","Central Coast","Coho","Hecate Strait Mainland","KUMOWDAH RIVER",4388,"N","Y"
"187","Central Coast","Coho","Hecate Strait Mainland","LEWIS CREEK",4343,"N","Y"
"188","Central Coast","Coho","Hecate Strait Mainland","MIKADO LAKE CREEK",4326,"N","Y"
"189","Central Coast","Coho","Hecate Strait Mainland","PA-AAT RIVER",4317,"N","Y"
"190","Central Coast","Coho","Hecate Strait Mainland","PORT STEPHENS CREEK",4324,"N","Y"
"191","Central Coast","Coho","Hecate Strait Mainland","RYAN CREEK",4351,"N","Y"
"192","Central Coast","Coho","Hecate Strait Mainland","SHAW CREEK",4350,"N","Y"
"193","Central Coast","Coho","Hecate Strait Mainland","SNASS CREEK",4267,"N","Y"
"194","Central Coast","Coho","Hecate Strait Mainland","SYLVIA CREEK",4359,"N","Y"
"195","Central Coast","Coho","Hecate Strait Mainland","TSIMTACK LAKE CREEK",4319,"N","Y"
"196","Central Coast","Coho","Northern Coastal Streams","FRENCHMAN CREEK",4481,"Y","N"
"197","Central Coast","Coho","Northern Coastal Streams","PIKE CREEK",4461,"Y","N"
"198","Central Coast","Coho","Northern Coastal Streams","DALA RIVER",4467,"N","Y"
"199","Central Coast","Coho","Northern Coastal Streams","KILDALA RIVER",4466,"N","Y"
"200","Central Coast","Coho","Northern Coastal Streams","WHALEN CREEK",4433,"N","Y"
"201","Central Coast","Coho","Smith Inlet","CANOE CREEK",4129,"N","Y"
"202","Central Coast","Pink","Hecate Lowlands (even)","BULLOCK CHANNEL CREEKS",4741,"Y","N"
"203","Central Coast","Pink","Hecate Lowlands (even)","COOPER INLET-FANNIE COVE CREEKS",4615,"Y","N"
"204","Central Coast","Pink","Hecate Lowlands (even)","EAGLE CREEK",4669,"Y","N"
"205","Central Coast","Pink","Hecate Lowlands (even)","FLUX CREEK",4665,"Y","N"
"206","Central Coast","Pink","Hecate Lowlands (even)","KDELMASHAN CREEK",4662,"Y","N"
"207","Central Coast","Pink","Hecate Lowlands (even)","MCLOUGHLIN CREEK",4603,"Y","N"
"208","Central Coast","Pink","Hecate Lowlands (even)","STANNARD CREEK",4672,"N","Y"
"209","Central Coast","Pink","Hecate Strait-Fjords (even)","KIMSQUIT RIVER",4876,"Y","N"
"210","Central Coast","Pink","Hecate Strait-Fjords (even)","KITIMAT RIVER",4835,"Y","N"
"211","Central Coast","Pink","Hecate Strait-Fjords (even)","MARTIN RIVER",4885,"Y","N"
"212","Central Coast","Pink","Hecate Strait-Fjords (even)","CASCADE RIVER",4882,"N","Y"
"213","Central Coast","Pink","Hecate Strait-Fjords (even)","FIFER COVE CREEK",4780,"N","Y"
"214","Central Coast","Pink","Hecate Strait-Fjords (even)","KLEKANE RIVER",4812,"N","Y"
"215","Central Coast","Pink","Hecate Strait-Fjords (even)","MARMOT COVE CREEK",4810,"N","Y"
"216","Central Coast","Pink","Hecate Strait-Fjords (even)","NOOSESECK RIVER",4873,"N","Y"
"217","Central Coast","Pink","Hecate Strait-Fjords (even)","QUATLENA RIVER",4862,"N","Y"
"218","Central Coast","Pink","Hecate Strait-Fjords (odd)","KIMSQUIT RIVER",5211,"Y","N"
"219","Central Coast","Pink","Hecate Strait-Fjords (odd)","KITIMAT RIVER",5196,"Y","N"
"220","Central Coast","Pink","Hecate Strait-Fjords (odd)","MARTIN RIVER",5220,"Y","N"
"221","Central Coast","Pink","Hecate Strait-Fjords (odd)","FIFER COVE CREEK",5154,"N","Y"
"222","Central Coast","Pink","Hecate Strait-Fjords (odd)","KLEKANE RIVER",5175,"N","Y"
"223","Central Coast","Pink","Hecate Strait-Lowlands (odd)","BOLTON CREEK",5081,"Y","N"
"224","Central Coast","Pink","Hecate Strait-Lowlands (odd)","BULLOCK CHANNEL CREEKS",5118,"Y","N"
"225","Central Coast","Pink","Hecate Strait-Lowlands (odd)","COOPER INLET-FANNIE COVE CREEKS",4992,"Y","N"
"226","Central Coast","Pink","Hecate Strait-Lowlands (odd)","EAGLE CREEK",5043,"Y","N"
"227","Central Coast","Pink","Hecate Strait-Lowlands (odd)","FLUX CREEK",5039,"Y","N"
"228","Central Coast","Pink","Hecate Strait-Lowlands (odd)","HANKIN CREEK",5095,"Y","N"
"229","Central Coast","Pink","Hecate Strait-Lowlands (odd)","JOHNSTON CREEK",5106,"Y","N"
"230","Central Coast","Pink","Hecate Strait-Lowlands (odd)","LIMESTONE CREEK",5030,"Y","N"
"231","Central Coast","Pink","Hecate Strait-Lowlands (odd)","GABION RIVER",5134,"N","Y"
"232","Central Coast","Pink","Hecate Strait-Lowlands (odd)","STANNARD CREEK",5046,"N","Y"
"233","Central Coast","Pink","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)","CLYAK RIVER",4942,"Y","N"
"234","Central Coast","Pink","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)","DRANEY CREEK",4925,"Y","N"
"235","Central Coast","Pink","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)","LOCKHART GORDON CREEK",4926,"Y","N"
"236","Central Coast","Pink","Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)","NOOSESECK RIVER",4955,"N","Y"
"237","Central Coast","Sockeye","Backland","QUAAL RIVER",4503,"N","Y"
"238","Central Coast","Sockeye","Bloomfield","BLOOMFIELD CREEK",4514,"N","Y"
"239","Central Coast","Sockeye","Freeda","KLEWNUGGIT INLET CREEK",4533,"N","Y"
"240","Central Coast","Sockeye","Kadjusdis River","KADJUSDIS RIVER",4537,"N","Y"
"241","Central Coast","Sockeye","Kitlope","KITLOPE RIVER",4511,"N","Y"
"242","Central Coast","Sockeye","Kooryet","KOORYET CREEK",4547,"N","Y"
"243","Central Coast","Sockeye","Lowe/Simpson/Weir","KUMOWDAH RIVER",4552,"N","Y"
"244","Central Coast","Sockeye","Mary Cove Creek","MARY COVE CREEK",4553,"N","Y"
"245","Central Coast","Sockeye","Mikado","MIKADO LAKE CREEK",4556,"N","Y"
"246","Central Coast","Sockeye","Northern Coastal Fjords (river-type)","GREEN RIVER",5307,"N","Y"
"247","Central Coast","Sockeye","Northern Coastal Fjords (river-type)","KHUTZE RIVER",5308,"N","Y"
"248","Central Coast","Sockeye","Northern Coastal Fjords (river-type)","QUARTCHA CREEK",5326,"N","Y"
"249","Central Coast","Sockeye","Owikeno","OWIKENO LAKE",4491,"Y","N"
"250","Central Coast","Sockeye","Yeo","KWAKUSDIS RIVER",4581,"N","Y"
"251","Vancouver Island & Mainland Inlets","Chum","Bute Inlet","ORFORD RIVER",5872,"N","Y"
"252","Vancouver Island & Mainland Inlets","Chum","Bute Inlet","SOUTHGATE RIVER",5873,"N","Y"
"253","Vancouver Island & Mainland Inlets","Chum","Georgia Strait","THEODOSIA RIVER",5996,"N","Y"
"254","Vancouver Island & Mainland Inlets","Chum","Loughborough","GRANITE BAY CREEK",6123,"N","Y"
"255","Vancouver Island & Mainland Inlets","Chum","Southern Coastal Streams","AHTA RIVER",6231,"N","Y"
"256","Vancouver Island & Mainland Inlets","Chum","Southern Coastal Streams","DRIFTWOOD CREEK",6243,"N","Y"
"257","Vancouver Island & Mainland Inlets","Chum","Southern Coastal Streams","SHOAL HARBOUR CREEK",6275,"N","Y"
"258","Vancouver Island & Mainland Inlets","Chum","Southern Coastal Streams","TAALTZ CREEK",6277,"N","Y"
"259","Vancouver Island & Mainland Inlets","Coho","Homathko-Klinaklini Rivers","KLINAKLINI RIVER",6729,"N","Y"
"260","Vancouver Island & Mainland Inlets","Coho","Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords","AHNUHATI RIVER",6899,"N","Y"
"261","Vancouver Island & Mainland Inlets","Coho","Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords","EMBLEY CREEK",6922,"N","Y"
"262","Vancouver Island & Mainland Inlets","Coho","Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords","KAKWEIKEN RIVER",6942,"N","Y"
"263","Vancouver Island & Mainland Inlets","Coho","Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords","KINGCOME RIVER",6946,"N","Y"
"264","Vancouver Island & Mainland Inlets","Coho","Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords","KWALATE CREEK",6948,"N","Y"
"265","Vancouver Island & Mainland Inlets","Coho","Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords","RAINBOW CREEK",6969,"N","Y"
"266","Vancouver Island & Mainland Inlets","Coho","Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords","SEYMOUR RIVER",6976,"N","Y"
"267","Vancouver Island & Mainland Inlets","Coho","Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords","TAALTZ CREEK",6985,"N","Y"
"268","Fraser","Sockeye","Anderson-Seton-Early Summer","ANDERSON LAKE-SHORE SPAWNERS",8587,"","N"
"269","Fraser","Sockeye","Anderson-Seton-Early Summer","SPRUCE CREEK",8592,"","N"
"270","Fraser","Sockeye","Lillooet-Harrison-Late","TAILLEFER CREEK",8653,"","N"
"271","Fraser","Sockeye","Nadina-Francois-Early Summer","NADINA RIVER-UPPER",8656,"Y","N"
"272","Fraser","Sockeye","Taseko-Early Summer","LASTMAN CREEK",8921,"","N"
"273","Fraser","Sockeye","Widgeon (river-type)","WIDGEON SLOUGH",8929,"","N"
"274","Columbia","Chinook","Okanagan","OKANAGAN RIVER",9702,"N","Y"
