"","region","species_qualified","streamid","stream_name_pse","indicator","SYS_NM","Indicator"
"76","Central Coast","CM",1271,"BIG CREEK","N","BIG CREEK","Y"
"77","Central Coast","CM",1276,"BOLIN BAY CREEK","N","BOLIN BAY CREEK","Y"
"78","Central Coast","CM",1215,"MILTON RIVER","N","MILTON RIVER","Y"
"79","Central Coast","CM",731,"NEKITE SPAWNING CHANNEL","N","NEKITE SPAWNING CHANNEL","Y"
"80","Central Coast","CM",43,"BULLOCK CHANNEL EAST CREEK","Y","BULLOCK CHANNEL EAST CREEK","N"
"81","Central Coast","CM",551,"COOPER INLET-FANNIE COVE CREEKS","Y","COOPER INLET-FANNIE COVE CREEKS","N"
"82","Central Coast","CM",1246,"MARTIN RIVER","Y","MARTIN RIVER","N"
"83","Central Coast","CM",44,"BULLOCK CHANNEL #2 CREEK","N","BULLOCK CHANNEL #2 CREEK","Y"
"84","Central Coast","CM",45,"BULLOCK CHANNEL #3 NORTH CREEK","N","BULLOCK CHANNEL #3 NORTH CREEK","Y"
"85","Central Coast","CM",46,"BULLOCK CHANNEL #3 SOUTH CREEK","N","BULLOCK CHANNEL #3 SOUTH CREEK","Y"
"86","Central Coast","CM",28,"COOPER INLET-ADA COVE CREEK","N","COOPER INLET-ADA COVE CREEK","Y"
"87","Central Coast","CM",42,"COOPER INLET-FANNIE COVE LH CREEK","N","COOPER INLET-FANNIE COVE LH CREEK","Y"
"88","Central Coast","CM",557,"FOUR LAKES CREEK","N","FOUR LAKES CREEK","Y"
"89","Central Coast","CM",560,"KADJUSDIS RIVER","N","KADJUSDIS RIVER","Y"
"90","Central Coast","CM",1252,"LEE CREEK","N","LEE CREEK","Y"
"91","Central Coast","CM",1250,"RAINBOW CREEK","N","RAINBOW CREEK","Y"
"92","Central Coast","CM",554,"SAGAR CREEK","N","SAGAR CREEK","Y"
"93","Central Coast","CM",563,"SCRIBNER CREEK","N","SCRIBNER CREEK","Y"
"94","Haida Gwaii","CO",2531,"CRESCENT INLET CREEK","N","CRESCENT INLET CREEK","Y"
"95","Haida Gwaii","CO",2517,"LAGOON CREEK","N","LAGOON CREEK","Y"
"96","Haida Gwaii","CO",2297,"DATLAMEN CREEK","Y","DATLAMEN CREEK","N"
"97","Haida Gwaii","CO",2385,"RILEY CREEK","Y","RILEY CREEK","N"
"98","Haida Gwaii","CO",2574,"BOTANY INLET CREEK-HEAD","N","BOTANY INLET CREEK-HEAD","Y"
"99","Haida Gwaii","CO",2573,"BOTANY INLET CREEK-OUTER","N","BOTANY INLET CREEK-OUTER","Y"
"100","Haida Gwaii","CO",2477,"DAWSON HARBOUR CREEK","N","DAWSON HARBOUR CREEK","Y"
"101","Nass","CO",2623,"LACHMACH RIVER","Y","LACHMACH RIVER","N"
"102","Skeena","CO",3096,"LEAN-TO CREEK","Y","LEAN-TO CREEK","N"
"103","Skeena","CO",3091,"SOCKEYE CREEK","Y","SOCKEYE CREEK","N"
"104","Skeena","CO",3216,"SOUTHEND CREEK","Y","SOUTHEND CREEK","N"
"105","Skeena","CO",3082,"ANDALAS CREEK","N","ANDALAS CREEK","Y"
"106","Skeena","CO",3102,"CLEAR CREEK","N","CLEAR CREEK","Y"
"107","Skeena","CO",3095,"DEEP CREEK","N","DEEP CREEK","Y"
"108","Skeena","CO",3222,"ERLANDSEN CREEK","N","ERLANDSEN CREEK","Y"
"109","Skeena","CO",3211,"GITNADOIX RIVER","N","GITNADOIX RIVER","Y"
"110","Skeena","CO",3099,"GOAT CREEK","N","GOAT CREEK","Y"
"111","Skeena","CO",3081,"HERMAN CREEK","N","HERMAN CREEK","Y"
"112","Skeena","CO",2832,"SALMON RUN CREEK","N","SALMON RUN CREEK","Y"
"113","Skeena","CO",3312,"BABINE RIVER - SECTION 4","Y","BABINE RIVER-SECTION 4","N"
"114","Skeena","CO",2140,"FULTON RIVER","Y","FULTON RIVER","N"
"115","Skeena","CO",2141,"PINKUT CREEK","Y","PINKUT CREEK","N"
"116","Skeena","CO",3286,"BUCK CREEK","N","BUCK CREEK","Y"
"117","Skeena","CO",3277,"CANYON CREEK","N","CANYON CREEK","Y"
"118","Skeena","CO",3308,"CLUB CREEK - LOWER (BETWEEN CLUB LAKE AND STEPHENS LAKE)","N","CLUB CREEK-LOWER [BETWEEN CLUB LAKE AND STEPHENS LAKE]","Y"
"119","Skeena","CO",3294,"CULLON CREEK","N","CULLON CREEK","Y"
"120","Skeena","CO",3284,"GOSNELL CREEK","N","GOSNELL CREEK","Y"
"121","Skeena","CO",3280,"MORICE RIVER","N","MORICE RIVER","Y"
"122","Skeena","CO",3303,"NANGEESE RIVER","N","NANGEESE RIVER","Y"
"123","Skeena","CO",3298,"SKUNSNAT CREEK","N","SKUNSNAT CREEK","Y"
"124","Skeena","CO",3112,"STATION CREEK","N","STATION CREEK","Y"
"125","Skeena","CO",2135,"STEEP CANYON CREEK","N","STEEP CANYON CREEK","Y"
"126","Skeena","CO",3307,"STEPHENS CREEK","N","STEPHENS CREEK","Y"
"127","Skeena","CO",3279,"TELKWA RIVER","N","TELKWA RIVER","Y"
"128","Skeena","CO",2614,"PRUDHOMME CREEK","N","PRUDHOMME CREEK","Y"
"129","Skeena","CO",3156,"ASITKA RIVER","N","ASITKA RIVER","Y"
"130","Skeena","CO",3075,"MOTASE LAKE","N","MOTASE LAKE","Y"
"131","Central Coast","CO",2113,"AIRPORT SIDE CHANNEL","N","AIRPORT SIDE CHANNEL","Y"
"132","Central Coast","CO",2121,"FISH CREEK","N","FISH CREEK","Y"
"133","Central Coast","CO",2114,"GARBAGE DUMP CREEK","N","GARBAGE DUMP CREEK","Y"
"134","Central Coast","CO",2115,"GEORGE HALL CREEK","N","GEORGE HALL CREEK","Y"
"135","Central Coast","CO",2122,"MOLLY CREEK","N","MOLLY CREEK","Y"
"136","Central Coast","CO",3610,"NECLEETSCONNAY RIVER","N","NECLEETSCONNAY RIVER","Y"
"137","Central Coast","CO",2120,"NOOKLIKONNIK CREEK","N","NOOKLIKONNIK CREEK","Y"
"138","Central Coast","CO",2128,"SALLOOMT RIVER","N","SALLOOMT RIVER","Y"
"139","Central Coast","CO",2118,"SNOOKA CREEK","N","SNOOKA CREEK","Y"
"140","Central Coast","CO",2117,"THORSEN CREEK","N","THORSEN CREEK","Y"
"141","Central Coast","CO",3683,"ANDERSON CREEK","N","ANDERSON CREEK","Y"
"142","Central Coast","CO",3689,"FOCH RIVER","N","FOCH RIVER","Y"
"143","Central Coast","CO",2684,"ARNOUP CREEK","Y","ARNOUP CREEK","N"
"144","Central Coast","CO",3633,"NEEKAS CREEK","Y","NEEKAS CREEK","N"
"145","Central Coast","CO",2686,"NIAS CREEK","Y","NIAS CREEK","N"
"146","Central Coast","CO",2772,"BANKS LAKES CREEK","N","BANKS LAKES CREEK","Y"
"147","Central Coast","CO",2784,"BILLY CREEK","N","BILLY CREEK","Y"
"148","Central Coast","CO",2761,"CAPTAIN COVE CREEK","N","CAPTAIN COVE CREEK","Y"
"149","Central Coast","CO",2755,"CURTIS INLET CREEK","N","CURTIS INLET CREEK","Y"
"150","Central Coast","CO",2768,"DEER LAKE CREEK","N","DEER LAKE CREEK","Y"
"151","Central Coast","CO",2754,"DEVON LAKE CREEK","N","DEVON LAKE CREEK","Y"
"152","Central Coast","CO",2705,"EAST ARM CREEK","N","EAST ARM CREEK","Y"
"153","Central Coast","CO",2763,"END HILL CREEK","N","END HILL CREEK","Y"
"154","Central Coast","CO",2788,"FOOTE CREEK","N","FOOTE CREEK","Y"
"155","Central Coast","CO",2780,"HANKIN CREEK","N","HANKIN CREEK","Y"
"156","Central Coast","CO",2759,"HEVENOR INLET CREEK","N","HEVENOR INLET CREEK","Y"
"157","Central Coast","CO",2771,"INDIAN HARBOUR CREEK","N","INDIAN HARBOUR CREEK","Y"
"158","Central Coast","CO",2767,"KEECHA CREEK","N","KEECHA CREEK","Y"
"159","Central Coast","CO",2779,"KESWAR CREEK","N","KESWAR CREEK","Y"
"160","Central Coast","CO",2773,"KINGKOWN INLET CREEKS","N","BONILLA LAKE CREEK","Y"
"161","Central Coast","CO",2766,"KOORYET CREEK","N","KOORYET CREEK","Y"
"162","Central Coast","CO",3698,"KUMOWDAH RIVER","N","KUMOWDAH RIVER","Y"
"163","Central Coast","CO",2770,"LEWIS CREEK","N","LEWIS CREEK","Y"
"164","Central Coast","CO",2753,"MIKADO LAKE CREEK","N","MIKADO LAKE CREEK","Y"
"165","Central Coast","CO",2744,"PA-AAT RIVER","N","PA-AAT RIVER","Y"
"166","Central Coast","CO",2790,"PHOENIX CREEK","N","PHOENIX CREEK","Y"
"167","Central Coast","CO",2789,"PORCHER CREEK","N","PORCHER CREEK","Y"
"168","Central Coast","CO",2751,"PORT STEPHENS CREEK","N","PORT STEPHENS CREEK","Y"
"169","Central Coast","CO",2778,"RYAN CREEK","N","RYAN CREEK","Y"
"170","Central Coast","CO",2777,"SHAW CREEK","N","SHAW CREEK","Y"
"171","Central Coast","CO",2679,"SNASS CREEK","N","SNASS CREEK","Y"
"172","Central Coast","CO",2827,"SYLVIA CREEK","N","SYLVIA CREEK","Y"
"173","Central Coast","CO",2746,"TSIMTACK LAKE CREEK","N","TSIMTACK LAKE CREEK","Y"
"174","Central Coast","CO",3621,"FRENCHMAN CREEK","Y","FRENCHMAN CREEK","N"
"175","Central Coast","CO",3440,"PIKE CREEK","Y","PIKE CREEK","N"
"176","Central Coast","CO",3446,"DALA RIVER","N","DALA RIVER","Y"
"177","Central Coast","CO",3445,"KILDALA RIVER","N","KILDALA RIVER","Y"
"178","Central Coast","CO",2706,"WHALEN CREEK","N","WHALEN CREEK","Y"
"179","Central Coast","CO",3349,"CANOE CREEK","N","CANOE CREEK","Y"
"180","Haida Gwaii","PKE",3944,"HAANS CREEK","Y","HAANS CREEK","N"
"181","Haida Gwaii","PKE",4025,"SANDY CREEK","Y","SANDY CREEK","N"
"182","Haida Gwaii","PKE",3951,"THURSTON HARBOUR CREEK","Y","THURSTON HARBOUR CREEK","N"
"183","Haida Gwaii","PKE",4029,"CHADSEY CREEK","N","CHADSEY CREEK","Y"
"184","Haida Gwaii","PKE",3858,"STANLEY CREEK","Y","STANLEY CREEK","N"
"185","Haida Gwaii","PKE",3863,"AIN RIVER","N","AIN RIVER","Y"
"186","Haida Gwaii","PKE",3853,"CELESTIAL RIVER","Y","CELESTIAL RIVER","N"
"187","Haida Gwaii","PKE",3991,"DAWSON INLET CREEK","Y","DAWSON INLET CREEK","N"
"188","Haida Gwaii","PKE",4083,"FLAT CREEK","Y","FLAT CREEK","N"
"189","Haida Gwaii","PKE",4002,"INSKIP CREEK","Y","INSKIP CREEK","N"
"190","Haida Gwaii","PKE",3988,"NORTH ARM HEAD CREEK","Y","NORTH ARM HEAD CREEK","N"
"191","Skeena","PKE",4470,"KISPIOX RIVER","Y","KISPIOX RIVER","N"
"192","Skeena","PKE",4437,"ANDESITE CREEK","Y","ANDESITE CREEK","N"
"193","Skeena","PKE",4154,"BELLE BAY CREEK","Y","BELLE BAY CREEK","N"
"194","Skeena","PKE",4300,"CHISMORE CREEK","Y","CHISMORE CREEK","N"
"195","Skeena","PKE",3789,"DOG TAG CREEK","Y","DOG TAG CREEK","N"
"196","Skeena","PKE",4299,"HUMPBACK CREEK","Y","HUMPBACK CREEK","N"
"197","Skeena","PKE",4730,"MOORE COVE CREEK","Y","MOORE COVE CREEK","N"
"198","Central Coast","PKE",4680,"BULLOCK CHANNEL CREEKS","Y","BULLOCK CHANNEL CREEKS","N"
"199","Central Coast","PKE",4166,"COOPER INLET-FANNIE COVE CREEKS","Y","COOPER INLET-FANNIE COVE CREEKS","N"
"200","Central Coast","PKE",4237,"EAGLE CREEK","Y","EAGLE CREEK","N"
"201","Central Coast","PKE",4233,"FLUX CREEK","Y","FLUX CREEK","N"
"202","Central Coast","PKE",4230,"KDELMASHAN CREEK","Y","KDELMASHAN CREEK","N"
"203","Central Coast","PKE",4260,"LAGOON CREEK","Y","LAGOON CREEK","N"
"204","Central Coast","PKE",4098,"MCLOUGHLIN CREEK","Y","MCLOUGHLIN CREEK","N"
"205","Central Coast","PKE",4664,"KIMSQUIT RIVER","Y","KIMSQUIT RIVER","N"
"206","Central Coast","PKE",4541,"KITIMAT RIVER","Y","KITIMAT RIVER","N"
"207","Central Coast","PKE",4673,"MARTIN RIVER","Y","MARTIN RIVER","N"
"208","Central Coast","PKE",4670,"CASCADE RIVER","N","CASCADE RIVER","Y"
"209","Central Coast","PKE",4191,"FIFER COVE CREEK","N","FIFER COVE CREEK","Y"
"210","Central Coast","PKE",4518,"KLEKANE RIVER","N","KLEKANE RIVER","Y"
"211","Central Coast","PKE",4516,"MARMOT COVE CREEK","N","MARMOT COVE CREEK","Y"
"212","Central Coast","PKE",4661,"NOOSESECK RIVER","N","NOOSESECK RIVER","Y"
"213","Central Coast","PKE",4649,"QUATLENA RIVER","N","QUATLENA RIVER","Y"
"214","Haida Gwaii","PKO",4970,"BIG GOOSE CREEK","Y","BIG GOOSE CREEK","N"
"215","Haida Gwaii","PKO",4907,"HAANS CREEK","Y","HAANS CREEK","N"
"216","Haida Gwaii","PKO",4906,"SACHS CREEK","Y","SACHS CREEK","N"
"217","Haida Gwaii","PKO",4902,"BROWNS CABIN CREEK","Y","BROWNS CABIN CREEK","N"
"218","Haida Gwaii","PKO",4937,"SECURITY INLET CREEK-L/H","Y","SECURITY INLET CREEK-L/H","N"
"219","Nass","PKO",5045,"BELLE BAY CREEK","Y","BELLE BAY CREEK","N"
"220","Nass","PKO",5047,"DONAHUE CREEK","Y","DONAHUE CREEK","N"
"221","Nass","PKO",5361,"WELDA CREEK","Y","WELDA CREEK","N"
"222","Skeena","PKO",4790,"DOG TAG CREEK","Y","DOG TAG CREEK","N"
"223","Skeena","PKO",5405,"KHYEX RIVER","Y","KHYEX RIVER","N"
"224","Skeena","PKO",5457,"KISPIOX RIVER","Y","KISPIOX RIVER","N"
"225","Skeena","PKO",5185,"CHISMORE CREEK","Y","CHISMORE CREEK","N"
"226","Skeena","PKO",5184,"HUMPBACK CREEK","Y","HUMPBACK CREEK","N"
"227","Skeena","PKO",5731,"MOORE COVE CREEK","Y","MOORE COVE CREEK","N"
"228","Central Coast","PKO",5664,"KIMSQUIT RIVER","Y","KIMSQUIT RIVER","N"
"229","Central Coast","PKO",5543,"KITIMAT RIVER","Y","KITIMAT RIVER","N"
"230","Central Coast","PKO",5673,"MARTIN RIVER","Y","MARTIN RIVER","N"
"231","Central Coast","PKO",5080,"FIFER COVE CREEK","N","FIFER COVE CREEK","Y"
"232","Central Coast","PKO",5522,"KLEKANE RIVER","N","KLEKANE RIVER","Y"
"233","Central Coast","PKO",5169,"BOLTON CREEK","Y","BOLTON CREEK","N"
"234","Central Coast","PKO",5681,"BULLOCK CHANNEL CREEKS","Y","BULLOCK CHANNEL CREEKS","N"
"235","Central Coast","PKO",5057,"COOPER INLET-FANNIE COVE CREEKS","Y","COOPER INLET-FANNIE COVE CREEKS","N"
"236","Central Coast","PKO",5123,"EAGLE CREEK","Y","EAGLE CREEK","N"
"237","Central Coast","PKO",5119,"FLUX CREEK","Y","FLUX CREEK","N"
"238","Central Coast","PKO",5183,"HANKIN CREEK","Y","HANKIN CREEK","N"
"239","Central Coast","PKO",5493,"JOHNSTON CREEK","Y","JOHNSTON CREEK","N"
"240","Central Coast","PKO",5110,"LIMESTONE CREEK","Y","LIMESTONE CREEK","N"
"241","Central Coast","PKO",5724,"GABION RIVER","N","GABION RIVER","Y"
"242","Central Coast","PKO",5639,"CLYAK RIVER","Y","CLYAK RIVER","N"
"243","Central Coast","PKO",5490,"DRANEY CREEK","Y","DRANEY CREEK","N"
"244","Central Coast","PKO",5491,"LOCKHART GORDON CREEK","Y","LOCKHART GORDON CREEK","N"
"245","Central Coast","PKO",5661,"NOOSESECK RIVER","N","NOOSESECK RIVER","Y"
"246","Haida Gwaii","SEL",6022,"MATHERS CREEK","N","MATHERS CREEK","Y"
"247","Haida Gwaii","SEL",5951,"MERCER CREEK","N","MERCER CREEK","Y"
"248","Nass","SEL",6488,"DAMDOCHAX CREEK","N","DAMDOCHAX CREEK","Y"
"249","Nass","SEL",6482,"KWINAGEESE RIVER","N","KWINAGEESE RIVER","Y"
"250","Skeena","SEL",6469,"ASITKA RIVER","N","ASITKA RIVER","Y"
"251","Skeena","SEL",6502,"CROSS CREEK","Y","CROSS CREEK","N"
"252","Skeena","SEL",6466,"BEAR LAKE","N","BEAR LAKE","Y"
"253","Skeena","SEL",6492,"JOHNSTON LAKE","N","JOHNSTON LAKE","Y"
"254","Skeena","SEL",6446,"DRY CREEK","N","DOUGLAS CREEK","Y"
"255","Skeena","SEL",6525,"BABINE RIVER - SECTION 4","Y","BABINE RIVER-SECTION 4","N"
"256","Skeena","SEL",6078,"PRUDHOMME CREEK","N","PRUDHOMME CREEK","Y"
"257","Skeena","SEL",6534,"TAHLO CREEK - UPPER","Y","TAHLO CREEK-UPPER","N"
"258","Skeena","SEL",6535,"TAHLO CREEK - LOWER","N","TAHLO CREEK-LOWER","Y"
"259","Central Coast","SEL",6695,"QUAAL RIVER","N","QUAAL RIVER","Y"
"260","Central Coast","SEL",6108,"BLOOMFIELD CREEK","N","BLOOMFIELD CREEK","Y"
"261","Central Coast","SEL",6701,"KLEWNUGGIT INLET CREEK","N","KLEWNUGGIT INLET CREEK","Y"
"262","Central Coast","SEL",6097,"KADJUSDIS RIVER","N","KADJUSDIS RIVER","Y"
"263","Central Coast","SEL",6568,"KITLOPE RIVER","N","KITLOPE RIVER","Y"
"264","Central Coast","SEL",6168,"KOORYET CREEK","N","KOORYET CREEK","Y"
"265","Central Coast","SEL",6700,"KUMOWDAH RIVER","N","KUMOWDAH RIVER","Y"
"266","Central Coast","SEL",6045,"MARY COVE CREEK","N","MARY COVE CREEK","Y"
"267","Central Coast","SEL",6159,"MIKADO LAKE CREEK","N","MIKADO LAKE CREEK","Y"
"268","Central Coast","SEL",6622,"OWIKENO LAKE","Y","OWIKENO LAKE","N"
"269","Central Coast","SEL",6075,"KWAKUSDIS RIVER","N","KWAKUSDIS RIVER","Y"
"270","Nass","SER",6481,"BROWN BEAR CREEK","N","BROWN BEAR CREEK","Y"
"271","Central Coast","SER",6615,"GREEN RIVER","N","GREEN RIVER","Y"
"272","Central Coast","SER",6616,"KHUTZE RIVER","N","KHUTZE RIVER","Y"
"273","Central Coast","SER",6657,"QUARTCHA CREEK","N","QUARTCHA CREEK","Y"
