"region","species","spawner_current_abundance","spawner_current_years","spawner_average_abundance","spawner_average_years","total_current_abundance","total_current_years","total_average_abundance","total_average_years","nCUs","text"
"Haida Gwaii","Coho","13,500","2021-2024","70,700","1950-2024","?","","?","",3,"Numbers represent the sum of estimated abundance for 193 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"Haida Gwaii","Pink","72,200","2023-2024","113,000","1950-2024","?","","?","",6,"Numbers represent the sum of estimated abundance for 139 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"Haida Gwaii","Sockeye","30,300","2020-2024","26,900","1950-2024","?","","?","",13,"Numbers represent the sum of estimated abundance for 45 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"Haida Gwaii","Steelhead","?","","?","","?","","?","",1,"A question mark indicates a lack of readily accessible data."
"Nass","Chinook","16,600","2021-2025","16,400","1992-2025","22,100","2021-2025","28,900","1992-2025",2,"Numbers represent absolute estimates of Chinook for the Nass River."
"Nass","Chum","85,100","2022-2025","42,700","1950-2025","99,800","2022-2025","51,000","1992-2025",3,"Numbers represent absolute estimates of chum salmon for the Nass River."
"Nass","Coho","211,800","2022-2025","128,300","1992-2025","399,400","2022-2025","276,100","1992-2025",3,"Numbers represent absolute estimates of coho salmon for the Nass River."
"Nass","Pink","1,388,900","2024-2025","243,500","1950-2025","1,550,800","2024-2025","562,600","1992-2025",3,"Numbers represent absolute estimates of pink salmon for the Nass River."
"Nass","Sockeye","419,500","2021-2025","262,500","1982-2025","607,200","2021-2025","662,900","1982-2025",10,"Numbers represent absolute estimates of sockeye salmon for the Nass River."
"Nass","Steelhead","12,100","2021-2025","11,300","1992-2025","16,500","2021-2025","17,700","1992-2025",2,"Numbers represent absolute estimates of steelhead for the Nass River."
"Skeena","Chinook","22,400","2019-2024","45,300","1984-2024","?","","?","",11,"Numbers represent absolute estimates of Chinook for the Skeena River. A question mark indicates a lack of readily accessible data."
"Skeena","Chum","1,300","2020-2024","8,700","1950-2024","?","","?","",4,"Numbers represent the sum of estimated abundance for 68 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"Skeena","Coho","98,800","2021-2024","89,800","1950-2024","?","","?","",4,"Numbers represent the sum of estimated abundance for 177 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"Skeena","Pink","3,943,000","2023-2024","962,600","1950-2024","?","","?","",5,"Numbers represent the sum of estimated abundance for 149 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"Skeena","Sockeye","1,704,700","2020-2024","986,500","1960-2024","2,367,500","2020-2024","2,077,600","1960-2024",31,"Numbers represent absolute estimates of sockeye for the Skeena River."
"Skeena","Steelhead","12,200","2021-2025","21,600","1956-2025","?","","?","",11,"Numbers represent an index of steelhead abundance from the Tyee Test Fishery. A question mark indicates a lack of readily accessible data."
"Central Coast","Chinook","18,300","2020-2024","16,600","1975-2024","?","","?","",7,"Numbers represent the sum of two indicator stocks (Atnarko River and Rivers Inlet). A question mark indicates a lack of readily accessible data."
"Central Coast","Chum","347,800","2021-2024","494,000","1950-2024","?","","?","",9,"Numbers represent the sum of estimated abundance for 293 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"Central Coast","Coho","148,700","2021-2024","163,600","1950-2024","?","","?","",7,"Numbers represent the sum of estimated abundance for 298 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"Central Coast","Pink","2,974,600","2023-2024","2,174,100","1950-2024","?","","?","",5,"Numbers represent the sum of estimated abundance for 302 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"Central Coast","Sockeye","245,200","2020-2024","400,400","1950-2024","?","","?","",85,"Numbers represent the sum of estimated abundance for 200 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"Central Coast","Steelhead","?","","?","","?","","?","",4,"A question mark indicates a lack of readily accessible data."
"East Vancouver Island & Mainland Inlets","Chinook","26,400","2021-2024","7,800","1979-2024","30,100","2021-2024","9,600","1975-2024",11,"Numbers represent the sum of estimated abundance for three indicator stocks (Nanaimo, Cowichan, and Phillips)."
"East Vancouver Island & Mainland Inlets","Chum","418,100","2021-2024","823,500","1953-2024","?","","?","",7,"Numbers represent the sum of estimated abundance for 327 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"East Vancouver Island & Mainland Inlets","Coho","355,000","2021-2024","267,000","1953-2024","?","","?","",7,"Numbers represent the sum of estimated abundance for 347 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"East Vancouver Island & Mainland Inlets","Pink","4,209,300","2023-2024","1,110,600","1953-2024","?","","?","",7,"Numbers represent the sum of estimated abundance for 205 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"East Vancouver Island & Mainland Inlets","Sockeye","100,200","2020-2024","110,700","1953-2024","?","","?","",18,"Numbers represent the sum of estimated abundance for 92 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"East Vancouver Island & Mainland Inlets","Steelhead","730","2020-2024","1,300","1976-2024","?","","?","",4,"Numbers represent the sum of estimated abundance for 6 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"West Vancouver Island","Chinook","22,700","2020-2023","12,700","1985-2023","355,200","2020-2023","242,100","1985-2023",3,"Spawner abundance numbers represent a 14-stream index of primarily naturally spawned Chinook compiled by the Pacific Salmon Commission, while the total abundance includes catch and spawners from abundant hatchery populations in the region, provided by Fisheries and Oceans Canada."
"West Vancouver Island","Chum","291,700","2022-2025","494,500","1953-2025","?","","?","",2,"Numbers represent the sum of estimated abundance for 259 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"West Vancouver Island","Coho","137,400","2022-2025","142,300","1953-2025","?","","?","",3,"Numbers represent the sum of estimated abundance for 270 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"West Vancouver Island","Pink","850","2024-2025","8,700","1953-2025","?","","?","",3,"Numbers represent the sum of estimated abundance for 128 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"West Vancouver Island","Sockeye","496,700","2021-2025","400,500","1977-2025","785,200","2021-2025","700,400","1977-2025",26,"Numbers represent the sum of estimated abundance for 3 Conservation Units (Great Central, Sproat, and Hucuktlis)."
"West Vancouver Island","Steelhead","410","2020-2024","630","1975-2024","?","","?","",2,"Numbers represent the sum of estimated abundance for 3 surveyed streams in the region. A question mark indicates a lack of readily accessible data."
"Fraser","Chinook","368,700","2021-2025","231,000","1984-2025","403,000","2021-2025","266,300","1984-2025",19,"Numbers represent the sum of abundances for five run-timing groups, provided by Fisheries and Oceans Canada."
"Fraser","Chum","1,088,100","2022-2025","1,134,200","1996-2025","1,133,200","2022-2025","1,258,500","1996-2025",1,"Numbers represent estimates of chum salmon for the Fraser River."
"Fraser","Coho","86,600","2022-2025","40,200","1984-2025","98,600","2022-2025","65,200","1984-2025",8,"Numbers represent the estimated abundance for interior Fraser coho."
"Fraser","Pink","17,695,300","2024-2025","4,739,400","1959-2025","18,909,500","2024-2025","9,586,600","1959-2025",1,"Numbers represent absolute estimates of pink salmon for the Fraser River."
"Fraser","Sockeye","1,699,000","2022-2025","1,059,300","1893-2025","2,957,300","2022-2025","4,547,200","1893-2025",32,"Numbers represent absolute estimates of sockeye salmon for the Fraser River."
"Fraser","Steelhead","270","2019-2023","1,500","1972-2023","?","","?","",6,"Numbers represent the sum of 2 out of 5 steelhead Conservation Units in the region. A question mark indicates a lack of readily accessible data."
"Columbia","Chinook","33","2019-2023","23","2006-2023","?","","?","",1,"Numbers represent absolute abundance for the Okanagan Chinook Conservation Unit. A question mark indicates a lack of readily accessible data."
"Columbia","Sockeye","64,700","2021-2024","22,500","1961-2024","268,000","2020-2023","67,300","1980-2023",1,"Numbers represent absolute abundance for the Osoyoos sockeye Conservation Unit."
"Columbia","Steelhead","3","2021-2025","18","2006-2025","?","","?","",1,"Numbers represent absolute abundance of Canadian-spawning steelhead.  A question mark indicates a lack of readily accessible data."
